Date,Open,High,Low,Close,Avg
1/1/2016,0.7216,0.7225,0.6809,0.7137,0.70967
2/1/2016,0.7149,0.7418,0.709,0.7402,0.72648
3/1/2016,0.7388,0.7798,0.7379,0.7707,0.7568
4/1/2016,0.7703,0.8004,0.7565,0.7974,0.78115
6/1/2016,0.7636,0.7902,0.7607,0.7712,0.77142
7/1/2016,0.7727,0.7795,0.7546,0.76685,0.76841
8/1/2016,0.767,0.7836,0.7577,0.7624,0.76767
9/1/2016,0.763,0.7799,0.75325,0.76285,0.76475
10/1/2016,0.7626,0.77035,0.7447,0.74525,0.75572
11/1/2016,0.7457,0.75415,0.73605,0.74505,0.74524
12/1/2016,0.74485,0.7646,0.73605,0.74415,0.74741
2/1/2017,0.7671,0.7707,0.75115,0.7525,0.76036
3/1/2017,0.75115,0.7538,0.7388,0.75265,0.7491
4/1/2017,0.75045,0.7558,0.7307,0.73165,0.74215
5/1/2017,0.73215,0.7472,0.7258,0.74065,0.73645
6/1/2017,0.7411,0.77235,0.7383,0.77165,0.75585
7/1/2017,0.7702,0.8057,0.7688,0.8032,0.78698
8/1/2017,0.8004,0.8042,0.7834,0.80035,0.79709
9/1/2017,0.80105,0.8291,0.79855,0.80225,0.80774
11/1/2017,0.7759,0.7893,0.7748,0.7752,0.7788
12/1/2017,0.77545,0.79855,0.77515,0.7984,0.78689
1/1/2018,0.7973,0.81515,0.79525,0.81305,0.80519
2/1/2018,0.81335,0.81545,0.77885,0.7796,0.79681
3/1/2018,0.7792,0.7811,0.76195,0.77535,0.7744
5/1/2018,0.77835,0.78525,0.76675,0.77215,0.77562
6/1/2018,0.7721,0.77795,0.7479,0.7608,0.76469
8/1/2018,0.7682,0.7763,0.75935,0.76645,0.76757
9/1/2018,0.7655,0.77625,0.7562,0.77415,0.76803
10/1/2018,0.7775,0.78235,0.75965,0.75965,0.76979
11/1/2018,0.7644,0.76515,0.74875,0.75265,0.75774
12/1/2018,0.7544,0.7601,0.7321,0.7341,0.74518
