Date,Year,Month,Price,Open,High,Low,Avg
1/1/1990,1990,Jan,0.8423,0.8421,0.8423,0.8421,0.8422
2/1/1990,1990,Feb,0.8395,0.8393,0.8395,0.8393,0.8394
3/1/1990,1990,Mar,0.8549,0.8547,0.8549,0.8547,0.8548
4/1/1990,1990,Apr,0.8588,0.8586,0.8588,0.8586,0.8587
5/1/1990,1990,May,0.8538,0.8536,0.8538,0.8536,0.8537
6/1/1990,1990,Jun,0.8597,0.8595,0.8597,0.8595,0.8596
7/1/1990,1990,Jul,0.8683,0.8681,0.8683,0.8681,0.8682
8/1/1990,1990,Aug,0.8645,0.8643,0.8645,0.8643,0.8644
9/1/1990,1990,Sep,0.8656,0.8654,0.8656,0.8654,0.8655
10/1/1990,1990,Oct,0.8572,0.857,0.8572,0.857,0.8571
11/1/1990,1990,Nov,0.8584,0.8582,0.8584,0.8582,0.8583
12/1/1990,1990,Dec,0.8622,0.8621,0.8622,0.8621,0.8622
1/1/1991,1991,Jan,0.8599,0.8597,0.8599,0.8597,0.8598
2/1/1991,1991,Feb,0.8698,0.8696,0.8698,0.8696,0.8697
3/1/1991,1991,Mar,0.863,0.8628,0.863,0.8628,0.8629
4/1/1991,1991,Apr,0.8674,0.8672,0.8674,0.8672,0.8673
5/1/1991,1991,May,0.8737,0.8735,0.8737,0.8735,0.8736
6/1/1991,1991,Jun,0.876,0.8758,0.876,0.8758,0.8759
7/1/1991,1991,Jul,0.8686,0.8684,0.8686,0.8684,0.8685
8/1/1991,1991,Aug,0.876,0.8758,0.876,0.8758,0.8759
9/1/1991,1991,Sep,0.8832,0.883,0.8832,0.883,0.8831
10/1/1991,1991,Oct,0.8907,0.8905,0.8907,0.8905,0.8906
11/1/1991,1991,Nov,0.8816,0.8814,0.8816,0.8814,0.8815
12/1/1991,1991,Dec,0.8654,0.8652,0.8654,0.8652,0.8653
1/1/1992,1992,Jan,0.8513,0.8511,0.8513,0.8511,0.8512
2/1/1992,1992,Feb,0.8459,0.8457,0.8459,0.8457,0.8458
3/1/1992,1992,Mar,0.8409,0.8408,0.8409,0.8408,0.8409
4/1/1992,1992,Apr,0.8395,0.8393,0.8395,0.8393,0.8394
5/1/1992,1992,May,0.8312,0.831,0.8312,0.831,0.8311
6/1/1992,1992,Jun,0.8342,0.834,0.8342,0.834,0.8341
7/1/1992,1992,Jul,0.8448,0.8447,0.8448,0.8447,0.8448
8/1/1992,1992,Aug,0.8371,0.8369,0.8371,0.8369,0.8370
9/1/1992,1992,Sep,0.8031,0.8029,0.8031,0.8029,0.8030
10/1/1992,1992,Oct,0.8075,0.8073,0.8075,0.8073,0.8074
11/1/1992,1992,Nov,0.7769,0.7767,0.7769,0.7767,0.7768
12/1/1992,1992,Dec,0.7867,0.7865,0.7867,0.7865,0.7866
1/1/1993,1993,Jan,0.7886,0.7885,0.7886,0.7885,0.7886
2/1/1993,1993,Feb,0.7999,0.7998,0.7999,0.7998,0.7999
3/1/1993,1993,Mar,0.7946,0.7945,0.7946,0.7945,0.7946
4/1/1993,1993,Apr,0.7872,0.787,0.7872,0.787,0.7871
5/1/1993,1993,May,0.7867,0.7865,0.7867,0.7865,0.7866
6/1/1993,1993,Jun,0.7801,0.7799,0.7801,0.7799,0.7800
