Date,CADUSD
1-Sep-20,0.73676
1-Oct-20,0.73356
1-Nov-20,0.73964
1-Dec-20,0.7429
1-Jan-21,0.7372
1-Feb-21,0.73713
1-Mar-21,0.73254
1-Apr-21,0.72095
1-May-21,0.7288
1-Jun-21,0.72622
1-Jul-21,0.72308
1-Aug-21,0.72897
1-Sep-21,0.73711
1-Oct-21,0.73946
1-Nov-21,0.74362
1-Dec-21,0.74054
1-Jan-22,0.74766
1-Feb-22,0.7427
1-Mar-22,0.73872
1-Apr-22,0.69694
1-May-22,0.70642
1-Jun-22,0.69952
1-Jul-22,0.69911
1-Aug-22,0.71286
1-Sep-22,0.70999
1-Oct-22,0.70979
1-Nov-22,0.71806
1-Dec-22,0.74229
1-Jan-23,0.75472
1-Feb-23,0.74562
1-Mar-23,0.73974
1-Apr-23,0.74243
1-May-23,0.72829
1-Jun-23,0.73612
1-Jul-23,0.72749
1-Aug-23,0.73718
1-Sep-23,0.74044
1-Oct-23,0.75653
1-Nov-23,0.76183
1-Dec-23,0.75521
1-Jan-24,0.75897
1-Feb-24,0.75165
1-Mar-24,0.75007
1-Apr-24,0.74021
1-May-24,0.73315
1-Jun-24,0.73186
1-Jul-24,0.74236
1-Aug-24,0.75391
1-Sep-24,0.75142
1-Oct-24,0.75366
1-Nov-24,0.76749
1-Dec-24,0.76256
1-Jan-25,0.7611
1-Feb-25,0.75847
1-Mar-25,0.75235
1-Apr-25,0.74707
1-May-25,0.73933
1-Jun-25,0.74616
1-Jul-25,0.74554
1-Aug-25,0.75477
