Date,Open,High,Low,Close,Avg
10/1/2015,0.75010,0.77910,0.75000,0.76450,0.76093
12/1/2015,0.74930,0.75220,0.71430,0.72330,0.73477
1/1/2016,0.72160,0.72250,0.68090,0.71370,0.70967
2/1/2016,0.71490,0.74180,0.70900,0.74020,0.72648
3/1/2016,0.73880,0.77980,0.73790,0.77070,0.75680
4/1/2016,0.77030,0.80040,0.75650,0.79740,0.78115
6/1/2016,0.76360,0.79020,0.76070,0.77120,0.77142
7/1/2016,0.77270,0.77950,0.75460,0.76685,0.76841
8/1/2016,0.76700,0.78360,0.75770,0.76240,0.76767
9/1/2016,0.76300,0.77990,0.75325,0.76285,0.76475
10/1/2016,0.76260,0.77035,0.74470,0.74525,0.75572
11/1/2016,0.74570,0.75415,0.73605,0.74505,0.74524
12/1/2016,0.74485,0.76460,0.73605,0.74415,0.74741
2/1/2017,0.76710,0.77070,0.75115,0.75250,0.76036
3/1/2017,0.75115,0.75380,0.73880,0.75265,0.74910
4/1/2017,0.75045,0.75580,0.73070,0.73165,0.74215
5/1/2017,0.73215,0.74720,0.72580,0.74065,0.73645
6/1/2017,0.74110,0.77235,0.73830,0.77165,0.75585
7/1/2017,0.77020,0.80570,0.76880,0.80320,0.78698
8/1/2017,0.80040,0.80420,0.78340,0.80035,0.79709
9/1/2017,0.80105,0.82910,0.79855,0.80225,0.80774
11/1/2017,0.77590,0.78930,0.77480,0.77520,0.77880
12/1/2017,0.77545,0.79855,0.77515,0.79840,0.78689
1/1/2018,0.79730,0.81515,0.79525,0.81305,0.80519
2/1/2018,0.81335,0.81545,0.77885,0.77960,0.79681
3/1/2018,0.77920,0.78110,0.76195,0.77535,0.77440
5/1/2018,0.77835,0.78525,0.76675,0.77215,0.77562
6/1/2018,0.77210,0.77795,0.74790,0.76080,0.76469
8/1/2018,0.76820,0.77630,0.75935,0.76645,0.76757
9/1/2018,0.76550,0.77625,0.75620,0.77415,0.76803
