Date,Year,Month,Price
1/1/2013,2013,Jan,618.59
2/1/2013,2013,Feb,619.64
3/1/2013,2013,Mar,620.01
4/1/2013,2013,Apr,624.14
5/1/2013,2013,May,631.80
6/1/2013,2013,Jun,629.45
7/1/2013,2013,Jul,612.15
8/1/2013,2013,Aug,536.76
9/1/2013,2013,Sep,531.50
10/1/2013,2013,Oct,529.33
11/1/2013,2013,Nov,538.14
12/1/2013,2013,Dec,542.24
1/1/2014,2014,Jan,559.57
2/1/2014,2014,Feb,679.00
3/1/2014,2014,Mar,702.50
4/1/2014,2014,Apr,721.00
5/1/2014,2014,May,736.33
6/1/2014,2014,Jun,747.80
7/1/2014,2014,Jul,650.91
8/1/2014,2014,Aug,622.50
9/1/2014,2014,Sep,589.86
10/1/2014,2014,Oct,591.41
11/1/2014,2014,Nov,572.32
12/1/2014,2014,Dec,562.42
1/1/2015,2015,Jan,605.10
2/1/2015,2015,Feb,632.52
3/1/2015,2015,Mar,649.25
4/1/2015,2015,Apr,652.05
5/1/2015,2015,May,658.22
6/1/2015,2015,Jun,639.16
7/1/2015,2015,Jul,612.95
8/1/2015,2015,Aug,570.75
9/1/2015,2015,Sep,553.00
10/1/2015,2015,Oct,554.00
11/1/2015,2015,Nov,551.23
12/1/2015,2015,Dec,547.05
1/1/2016,2016,Jan,549.65
2/1/2016,2016,Feb,547.09
3/1/2016,2016,Mar,549.74
4/1/2016,2016,Apr,553.39
5/1/2016,2016,May,560.35
6/1/2016,2016,Jun,527.95
7/1/2016,2016,Jul,529.57
8/1/2016,2016,Aug,497.23
9/1/2016,2016,Sep,494.00
10/1/2016,2016,Oct,489.39
11/1/2016,2016,Nov,470.74
12/1/2016,2016,Dec,484.14
1/1/2017,2017,Jan,487.83
2/1/2017,2017,Feb,500.05
3/1/2017,2017,Mar,495.96
4/1/2017,2017,Apr,500.86
5/1/2017,2017,May,538.09
6/1/2017,2017,Jun,534.95
7/1/2017,2017,Jul,524.11
8/1/2017,2017,Aug,495.30
9/1/2017,2017,Sep,477.98
10/1/2017,2017,Oct,467.64
11/1/2017,2017,Nov,490.81
12/1/2017,2017,Dec,487.98
1/1/2018,2018,Jan,472.00
2/1/2018,2018,Feb,466.58
3/1/2018,2018,Mar,472.74
4/1/2018,2018,Apr,488.09
5/1/2018,2018,May,500.17
6/1/2018,2018,Jun,502.61
7/1/2018,2018,Jul,493.61
8/1/2018,2018,Aug,496.01
9/1/2018,2018,Sep,520.52
10/1/2018,2018,Oct,540.88
11/1/2018,2018,Nov,551.03
12/1/2018,2018,Dec,551.89
1/1/2019,2019,Jan,569.50
2/1/2019,2019,Feb,563.68
3/1/2019,2019,Mar,556.51
4/1/2019,2019,Apr,560.17
5/1/2019,2019,May,573.18
6/1/2019,2019,Jun,550.78
7/1/2019,2019,Jul,552.70
8/1/2019,2019,Aug,540.57
9/1/2019,2019,Sep,536.09
10/1/2019,2019,Oct,545.79
11/1/2019,2019,Nov,533.93
12/1/2019,2019,Dec,536.72
1/1/2020,2020,Jan,532.20
2/1/2020,2020,Feb,530.47
3/1/2020,2020,Mar,524.68
4/1/2020,2020,Apr,510.86
5/1/2020,2020,May,510.86
6/1/2020,2020,Jun,510.86
7/1/2020,2020,Jul,497.03
8/1/2020,2020,Aug,493.94
9/1/2020,2020,Sep,501.86
10/1/2020,2020,Oct,495.12
11/1/2020,2020,Nov,498.26
12/1/2020,2020,Dec,538.08
1/1/2021,2021,Jan,539.99
2/1/2021,2021,Feb,566.83
3/1/2021,2021,Mar,591.15
4/1/2021,2021,Apr,588.80
5/1/2021,2021,May,575.78
6/1/2021,2021,Jun,609.45
7/1/2021,2021,Jul,606.56
8/1/2021,2021,Aug,632.12
9/1/2021,2021,Sep,645.91
10/1/2021,2021,Oct,783.91
11/1/2021,2021,Nov,1043.00
12/1/2021,2021,Dec,1139.28
1/1/2022,2022,Jan,1171.74
2/1/2022,2022,Feb,1149.40
3/1/2022,2022,Mar,1316.93
4/1/2022,2022,Apr,1348.86
5/1/2022,2022,May,1331.36
6/1/2022,2022,Jun,1073.47
7/1/2022,2022,Jul,991.30
8/1/2022,2022,Aug,1027.85
9/1/2022,2022,Sep,1091.43
10/1/2022,2022,Oct,1157.56
11/1/2022,2022,Nov,1161.45
12/1/2022,2022,Dec,1050.77
1/1/2023,2023,Jan,1012.59
2/1/2023,2023,Feb,959.37
3/1/2023,2023,Mar,858.86
4/1/2023,2023,Apr,773.95
5/1/2023,2023,May,798.18
6/1/2023,2023,Jun,783.81
7/1/2023,2023,Jul,690.83
8/1/2023,2023,Aug,762.50
9/1/2023,2023,Sep,780.21
10/1/2023,2023,Oct,814.38
11/1/2023,2023,Nov,802.39
12/1/2023,2023,Dec,745.83
1/1/2024,2024,Jan,726.88
2/1/2024,2024,Feb,724.44
3/1/2024,2024,Mar,768.83
4/1/2024,2024,Apr,794.78
5/1/2024,2024,May,807.75
6/1/2024,2024,Jun,832.72
7/1/2024,2024,Jul,709.48
8/1/2024,2024,Aug,686.35
9/1/2024,2024,Sep,677.06
10/1/2024,2024,Oct,686.45
11/1/2024,2024,Nov,707.35
12/1/2024,2024,Dec,720.27
