"Date","Week","Month","Year","Location","Rate"
"09/16/2025","37","9","2025","Twin Cities","709.00"
"09/16/2025","37","9","2025","Lower Ohio","675.00"
"09/16/2025","37","9","2025","Cincinnati","675.00"
"09/16/2025","37","9","2025","Cairo-Memphis","600.00"
"09/16/2025","37","9","2025","St. Louis","615.28"
"09/16/2025","37","9","2025","Lower Illinois","716.67"
"09/16/2025","37","9","2025","Mid-Mississippi","714.00"
"09/09/2025","36","9","2025","Mid-Mississippi","669.00"
"09/09/2025","36","9","2025","Cairo-Memphis","584.38"
"09/09/2025","36","9","2025","Lower Ohio","664.38"
"09/09/2025","36","9","2025","Cincinnati","664.38"
"09/09/2025","36","9","2025","St. Louis","581.56"
"09/09/2025","36","9","2025","Lower Illinois","665.63"
"09/09/2025","36","9","2025","Twin Cities","678.00"
"09/02/2025","35","9","2025","Mid-Mississippi","619.00"
"09/02/2025","35","9","2025","Cairo-Memphis","511.11"
"09/02/2025","35","9","2025","Lower Ohio","558.33"
"09/02/2025","35","9","2025","Cincinnati","558.33"
"09/02/2025","35","9","2025","St. Louis","505.56"
"09/02/2025","35","9","2025","Lower Illinois","612.78"
"09/02/2025","35","9","2025","Twin Cities","625.00"
"08/26/2025","34","8","2025","Cincinnati","506.25"
"08/26/2025","34","8","2025","Cairo-Memphis","475.00"
"08/26/2025","34","8","2025","Lower Ohio","506.25"
"08/26/2025","34","8","2025","St. Louis","467.19"
"08/26/2025","34","8","2025","Lower Illinois","583.13"
"08/26/2025","34","8","2025","Mid-Mississippi","599.00"
"08/26/2025","34","8","2025","Twin Cities","606.00"
"08/19/2025","33","8","2025","Twin Cities","609.00"
"08/19/2025","33","8","2025","Cairo-Memphis","470.56"
"08/19/2025","33","8","2025","Lower Ohio","483.33"
"08/19/2025","33","8","2025","Cincinnati","483.33"
"08/19/2025","33","8","2025","St. Louis","464.17"
"08/19/2025","33","8","2025","Lower Illinois","575.56"
"08/19/2025","33","8","2025","Mid-Mississippi","592.00"
"08/12/2025","32","8","2025","Mid-Mississippi","568.00"
"08/12/2025","32","8","2025","Cairo-Memphis","445.00"
"08/12/2025","32","8","2025","Lower Ohio","464.29"
"08/12/2025","32","8","2025","Cincinnati","464.29"
"08/12/2025","32","8","2025","St. Louis","448.93"
"08/12/2025","32","8","2025","Lower Illinois","557.86"
"08/12/2025","32","8","2025","Twin Cities","596.00"
"08/05/2025","31","8","2025","Lower Illinois","562.86"
"08/05/2025","31","8","2025","Cairo-Memphis","400.71"
"08/05/2025","31","8","2025","Lower Ohio","460.71"
"08/05/2025","31","8","2025","Twin Cities","620.00"
"08/05/2025","31","8","2025","Cincinnati","460.71"
"08/05/2025","31","8","2025","St. Louis","458.93"
"08/05/2025","31","8","2025","Mid-Mississippi","591.00"
"07/29/2025","30","7","2025","Twin Cities","640.00"
"07/29/2025","30","7","2025","Cairo-Memphis","425.00"
"07/29/2025","30","7","2025","Lower Ohio","471.43"
"07/29/2025","30","7","2025","Cincinnati","471.43"
"07/29/2025","30","7","2025","St. Louis","473.21"
"07/29/2025","30","7","2025","Lower Illinois","598.57"
"07/29/2025","30","7","2025","Mid-Mississippi","624.00"
"07/22/2025","29","7","2025","Twin Cities","604.00"
"07/22/2025","29","7","2025","Cairo-Memphis","400.00"
"07/22/2025","29","7","2025","Lower Ohio","456.25"
"07/22/2025","29","7","2025","Cincinnati","456.25"
"07/22/2025","29","7","2025","St. Louis","457.19"
"07/22/2025","29","7","2025","Lower Illinois","596.88"
"07/22/2025","29","7","2025","Mid-Mississippi","608.00"
"07/15/2025","28","7","2025","Mid-Mississippi","578.00"
"07/15/2025","28","7","2025","Cairo-Memphis","318.75"
"07/15/2025","28","7","2025","Lower Ohio","353.75"
"07/15/2025","28","7","2025","Cincinnati","353.75"
"07/15/2025","28","7","2025","St. Louis","400.00"
"07/15/2025","28","7","2025","Lower Illinois","550.00"
"07/15/2025","28","7","2025","Twin Cities","594.00"
"07/08/2025","27","7","2025","Mid-Mississippi","510.00"
"07/08/2025","27","7","2025","Cairo-Memphis","288.57"
"07/08/2025","27","7","2025","Lower Ohio","325.00"
"07/08/2025","27","7","2025","Cincinnati","325.00"
"07/08/2025","27","7","2025","St. Louis","331.79"
"07/08/2025","27","7","2025","Lower Illinois","472.14"
"07/08/2025","27","7","2025","Twin Cities","584.00"
"07/01/2025","26","7","2025","Twin Cities","573.00"
"07/01/2025","26","7","2025","Cairo-Memphis","277.78"
"07/01/2025","26","7","2025","Lower Ohio","321.67"
"07/01/2025","26","7","2025","Cincinnati","321.67"
"07/01/2025","26","7","2025","St. Louis","314.72"
"07/01/2025","26","7","2025","Lower Illinois","440.00"
"07/01/2025","26","7","2025","Mid-Mississippi","473.00"
"06/24/2025","25","6","2025","Twin Cities","556.00"
"06/24/2025","25","6","2025","Cairo-Memphis","281.25"
"06/24/2025","25","6","2025","Lower Ohio","323.75"
"06/24/2025","25","6","2025","Cincinnati","323.75"
"06/24/2025","25","6","2025","St. Louis","334.38"
"06/24/2025","25","6","2025","Lower Illinois","418.44"
"06/24/2025","25","6","2025","Mid-Mississippi","463.00"
"06/17/2025","24","6","2025","Mid-Mississippi","465.00"
"06/17/2025","24","6","2025","Cairo-Memphis","282.14"
"06/17/2025","24","6","2025","Lower Ohio","325.71"
"06/17/2025","24","6","2025","Cincinnati","325.71"
"06/17/2025","24","6","2025","St. Louis","313.93"
"06/17/2025","24","6","2025","Lower Illinois","427.86"
"06/17/2025","24","6","2025","Twin Cities","534.00"
"06/10/2025","23","6","2025","Mid-Mississippi","458.00"
"06/10/2025","23","6","2025","Cairo-Memphis","288.33"
"06/10/2025","23","6","2025","Lower Ohio","320.00"
"06/10/2025","23","6","2025","Cincinnati","322.78"
"06/10/2025","23","6","2025","St. Louis","304.17"
"06/10/2025","23","6","2025","Lower Illinois","428.89"
"06/10/2025","23","6","2025","Twin Cities","505.00"
"06/03/2025","22","6","2025","Mid-Mississippi","459.00"
"06/03/2025","22","6","2025","Cairo-Memphis","289.38"
"06/03/2025","22","6","2025","Lower Ohio","326.88"
"06/03/2025","22","6","2025","Cincinnati","326.88"
"06/03/2025","22","6","2025","St. Louis","313.44"
"06/03/2025","22","6","2025","Lower Illinois","436.88"
"06/03/2025","22","6","2025","Twin Cities","491.00"
"05/27/2025","21","5","2025","Twin Cities","491.00"
"05/27/2025","21","5","2025","Cairo-Memphis","295.63"
"05/27/2025","21","5","2025","Lower Ohio","326.25"
"05/27/2025","21","5","2025","Cincinnati","326.25"
"05/27/2025","21","5","2025","St. Louis","315.94"
"05/27/2025","21","5","2025","Lower Illinois","441.88"
"05/27/2025","21","5","2025","Mid-Mississippi","458.00"
"05/20/2025","20","5","2025","Twin Cities","482.00"
"05/20/2025","20","5","2025","Cairo-Memphis","293.89"
"05/20/2025","20","5","2025","Lower Ohio","331.11"
"05/20/2025","20","5","2025","Cincinnati","331.11"
"05/20/2025","20","5","2025","St. Louis","314.17"
"05/20/2025","20","5","2025","Lower Illinois","441.11"
"05/20/2025","20","5","2025","Mid-Mississippi","457.00"
"05/13/2025","19","5","2025","Mid-Mississippi","474.00"
"05/13/2025","19","5","2025","Cairo-Memphis","296.11"
"05/13/2025","19","5","2025","Lower Ohio","323.33"
"05/13/2025","19","5","2025","Cincinnati","323.33"
"05/13/2025","19","5","2025","St. Louis","336.94"
"05/13/2025","19","5","2025","Lower Illinois","449.44"
"05/13/2025","19","5","2025","Twin Cities","499.00"
"05/06/2025","18","5","2025","Mid-Mississippi","512.00"
"05/06/2025","18","5","2025","Cairo-Memphis","305.63"
"05/06/2025","18","5","2025","Lower Ohio","334.38"
"05/06/2025","18","5","2025","Cincinnati","334.38"
"05/06/2025","18","5","2025","St. Louis","367.19"
"05/06/2025","18","5","2025","Lower Illinois","477.50"
"05/06/2025","18","5","2025","Twin Cities","526.00"
"04/29/2025","17","4","2025","Twin Cities","536.00"
"04/29/2025","17","4","2025","Cairo-Memphis","304.38"
"04/29/2025","17","4","2025","Lower Ohio","342.50"
"04/29/2025","17","4","2025","Cincinnati","342.50"
"04/29/2025","17","4","2025","St. Louis","350.94"
"04/29/2025","17","4","2025","Lower Illinois","464.38"
"04/29/2025","17","4","2025","Mid-Mississippi","493.00"
"04/22/2025","16","4","2025","Twin Cities","553.00"
"04/22/2025","16","4","2025","Cairo-Memphis","326.43"
"04/22/2025","16","4","2025","Lower Ohio","375.00"
"04/22/2025","16","4","2025","Cincinnati","375.00"
"04/22/2025","16","4","2025","St. Louis","348.93"
"04/22/2025","16","4","2025","Lower Illinois","464.29"
"04/22/2025","16","4","2025","Mid-Mississippi","513.00"
"04/15/2025","15","4","2025","Mid-Mississippi","573.00"
"04/15/2025","15","4","2025","Cairo-Memphis","348.06"
"04/15/2025","15","4","2025","Lower Ohio","392.19"
"04/15/2025","15","4","2025","Cincinnati","392.19"
"04/15/2025","15","4","2025","St. Louis","397.22"
"04/15/2025","15","4","2025","Lower Illinois","538.33"
"04/15/2025","15","4","2025","Twin Cities","600.00"
"04/08/2025","14","4","2025","Mid-Mississippi","610.00"
"04/08/2025","14","4","2025","Cairo-Memphis","347.50"
"04/08/2025","14","4","2025","Lower Ohio","394.29"
"04/08/2025","14","4","2025","Cincinnati","394.29"
"04/08/2025","14","4","2025","St. Louis","404.44"
"04/08/2025","14","4","2025","Lower Illinois","580.56"
"04/08/2025","14","4","2025","Twin Cities","609.00"
"04/01/2025","13","4","2025","Mid-Mississippi","604.00"
"04/01/2025","13","4","2025","Cairo-Memphis","357.19"
"04/01/2025","13","4","2025","Lower Ohio","412.81"
"04/01/2025","13","4","2025","Cincinnati","412.81"
"04/01/2025","13","4","2025","St. Louis","428.44"
"04/01/2025","13","4","2025","Lower Illinois","609.69"
"04/01/2025","13","4","2025","Twin Cities","600.00"
