Date,Rate,Dollar per Ton,ID
2004-01-01,200.5,9.3,49
2004-02-01,184.75,8.57,50
2004-03-01,150.8,7,51
2004-04-01,142.25,6.6,52
2004-05-01,157.75,7.32,53
2004-06-01,157,7.28,54
2004-07-01,161,7.47,55
2004-08-01,220.5,10.23,56
2004-09-01,322.6,14.97,57
2004-10-01,378.75,17.57,58
2004-11-01,318.5,14.78,59
2004-12-01,286.4,13.29,60
2005-01-01,309.75,14.37,61
2005-02-01,273.5,12.69,62
2005-03-01,294.4,13.66,63
2005-04-01,253.75,11.77,64
2005-05-01,247,11.46,65
2005-06-01,230.4,10.69,66
2005-07-01,273.25,12.68,67
2005-08-01,334.2,15.51,68
2005-09-01,601.25,27.9,69
2005-10-01,698.75,32.42,70
2005-11-01,383.4,17.79,71
2005-12-01,495.25,22.98,72
2006-01-01,392.75,18.22,73
2006-02-01,422.5,19.6,74
2006-03-01,350.6,16.27,75
2006-04-01,313.5,14.55,76
2006-05-01,358.6,16.64,77
2006-06-01,389.75,18.08,78
2006-07-01,489.25,22.7,79
2006-08-01,557.4,25.86,80
2006-09-01,534.75,24.81,81
2006-10-01,540.4,25.07,82
2006-11-01,453.25,21.03,83
2006-12-01,328.5,15.24,84
2007-01-01,305.4,14.17,85
2007-02-01,353,16.38,86
2007-03-01,273.5,12.69,87
2007-04-01,226.31,10.5,88
2007-05-01,250.27,11.61,89
2007-06-01,349.44,16.21,90
2007-07-01,401.6,18.63,91
2007-08-01,563.25,26.13,92
2007-09-01,724.25,33.61,93
2007-10-01,565.27,26.23,94
2007-11-01,412.13,19.12,95
2007-12-01,382.67,17.76,96
2008-01-01,382,17.72,97
2008-02-01,499.25,23.17,98
2008-03-01,456.94,21.2,99
2008-04-01,413.35,19.18,100
2008-05-01,386.5,17.93,101
2008-06-01,540,25.06,102
2008-07-01,512.6,23.78,103
2008-08-01,506.5,23.5,104
2008-09-01,607.4,28.18,105
2008-10-01,668.75,31.03,106
2008-11-01,618.5,28.7,107
2008-12-01,465.95,21.62,108
2009-01-01,511,23.71,109
2009-02-01,356.75,16.55,110
2009-03-01,266.75,12.38,111
2009-04-01,255.81,11.87,112
2009-05-01,266.23,12.35,113
2009-06-01,272.27,12.63,114
2009-07-01,276.13,12.81,115
2009-08-01,304.56,14.13,116
2009-09-01,372.5,17.28,117
2009-10-01,449.75,20.87,118
2009-11-01,479.38,22.24,119
2009-12-01,374.33,17.37,120
2010-01-01,391.88,18.18,121
2010-02-01,345,16.01,122
2010-03-01,298.58,13.85,123
2010-04-01,283.33,13.15,124
2010-05-01,369.17,17.13,125
2010-06-01,300.17,13.93,126
2010-07-01,381.46,17.7,127
2010-08-01,440.75,20.45,128
2010-09-01,520.63,24.16,129
2010-10-01,570.31,26.46,130
2010-11-01,447.67,20.77,131
2010-12-01,535.27,24.84,132
2011-01-01,444.06,20.6,133
2011-02-01,552.19,25.62,134
2011-03-01,537,24.92,135
2011-04-01,428.94,19.9,136
2011-05-01,443.68,20.59,137
2011-06-01,446.98,20.74,138
2011-07-01,432.44,20.07,139
2011-08-01,410.83,19.06,140
2011-09-01,504.17,23.39,141
2011-10-01,518.79,24.07,142
2011-11-01,439.93,20.41,143
2011-12-01,373.67,17.34,144
2012-01-01,383.07,17.77,145
2012-02-01,401.58,18.63,146
2012-03-01,351.75,16.32,147
2012-04-01,324.08,15.04,148
2012-05-01,336.67,15.62,149
2012-06-01,278.86,12.94,150
2012-07-01,358.75,16.65,151
2012-08-01,359.38,16.68,152
2012-09-01,570.83,26.49,153
2012-10-01,556,25.8,154
2012-11-01,585.33,27.16,155
2012-12-01,578.25,26.83,156
2013-01-01,376.6,17.47,157
2013-02-01,325,15.08,158
2013-03-01,312.58,14.5,159
2013-04-01,273.61,12.7,160
2013-05-01,287.08,13.32,161
2013-06-01,306.46,14.22,162
2013-07-01,280,12.99,163
2013-08-01,345.84,16.05,164
2013-09-01,496.67,23.05,165
2013-10-01,605.8,28.11,166
2013-11-01,613.75,28.48,167
2013-12-01,566.67,26.29,168
2014-01-01,568.13,26.36,169
2014-02-01,596.22,27.66,170
2014-03-01,573.02,26.59,171
2014-04-01,381.4,17.7,172
2014-05-01,363.13,16.85,173
2014-06-01,365.52,16.96,174
2014-07-01,447,20.74,175
2014-08-01,461.15,21.4,176
2014-09-01,757.58,35.15,177
2014-10-01,868.13,40.28,178
2014-11-01,708.86,32.89,179
2014-12-01,482,22.36,180
2015-01-01,460.42,21.36,181
2015-02-01,430,19.95,182
2015-03-01,402.5,18.68,183
2015-04-01,429.17,19.91,184
2015-05-01,387.71,17.99,185
2015-06-01,379.17,17.59,186
2015-07-01,382.92,17.77,187
2015-08-01,330.42,15.33,188
2015-09-01,518.33,24.05,189
2015-10-01,507.09,23.53,190
2015-11-01,322.29,14.95,191
2015-12-01,281.6,13.07,192
2016-01-01,292.5,13.57,193
2016-02-01,271.36,12.59,194
2016-03-01,243.1,11.28,195
2016-04-01,278.13,12.91,196
2016-05-01,251.5,11.67,197
2016-06-01,347.71,16.13,198
2016-07-01,414.21,19.22,199
2016-08-01,384,17.82,200
2016-09-01,447.71,20.77,201
2016-10-01,415.75,19.29,202
2016-11-01,298.5,13.85,203
2016-12-01,260.63,12.09,204
2017-01-01,323.17,15,205
2017-02-01,314.38,14.59,206
2017-03-01,284.81,13.22,207
2017-04-01,245,11.37,208
2017-05-01,275.17,12.77,209
2017-06-01,283.75,13.17,210
2017-07-01,301.25,13.98,211
2017-08-01,315.33,14.63,212
2017-09-01,432.5,20.07,213
2017-10-01,491,22.78,214
2017-11-01,348.13,16.15,215
2017-12-01,283.33,13.15,216
2018-01-01,363.08,16.85,217
2018-02-01,376.46,17.47,218
2018-03-01,501.71,23.28,219
2018-04-01,581.25,26.97,220
2018-05-01,469.4,21.78,221
2018-06-01,501.36,23.26,222
2018-07-01,446.83,20.73,223
2018-08-01,544.58,25.27,224
2018-09-01,506.25,23.49,225
2018-10-01,502.67,23.32,226
2018-11-01,333.75,15.49,227
2018-12-01,396.25,18.39,228
2019-01-01,420,19.49,229
2019-02-01,528.13,24.51,230
2019-03-01,503.75,23.37,231
2019-04-01,399.33,18.53,232
2019-05-01,413,19.16,233
2019-06-01,495,22.97,234
2019-07-01,498.03,23.11,235
2019-08-01,499,23.15,236
2019-09-01,395.75,18.36,237
2019-10-01,375,17.4,238
2019-11-01,378.5,17.56,239
2019-12-01,333,15.45,240
2020-01-01,325.63,15.11,241
2020-02-01,294.75,13.68,242
2020-03-01,295,13.69,243
2020-04-01,298,13.83,244
2020-05-01,270.75,12.56,245
2020-06-01,281.67,13.07,246
2020-07-01,354,16.43,247
2020-08-01,426,19.77,248
2020-09-01,498,23.11,249
