Date,Year,Month,Price,Open,High,Low,Vol.,Change %,ID,Avg
01/01/2000,2000,Jan,0.6916,0.6914,0.6986,0.6842,,0.01%,309,0.6915
02/01/2000,2000,Feb,0.6902,0.6899,0.6965,0.6818,,-0.20%,308,0.6896
03/01/2000,2000,Mar,0.6901,0.6898,0.6926,0.6771,,-0.01%,307,0.6874
04/01/2000,2000,Apr,0.6752,0.6749,0.6908,0.6716,,-2.16%,306,0.6781
05/01/2000,2000,May,0.6681,0.6678,0.6777,0.6605,,-1.05%,305,0.6685
06/01/2000,2000,Jun,0.6754,0.6752,0.6835,0.668,,1.09%,304,0.6755
07/01/2000,2000,Jul,0.6727,0.6725,0.6835,0.6702,,-0.40%,303,0.6747
08/01/2000,2000,Aug,0.6792,0.679,0.68,0.6691,,0.97%,302,0.6768
09/01/2000,2000,Sep,0.6652,0.6649,0.6809,0.6631,,-2.06%,301,0.6685
10/01/2000,2000,Oct,0.6567,0.6565,0.6701,0.6526,,-1.28%,300,0.659
11/01/2000,2000,Nov,0.6508,0.6506,0.6573,0.64,,-0.90%,299,0.6497
12/01/2000,2000,Dec,0.6672,0.6669,0.669,0.6436,,2.52%,298,0.6617
01/01/2001,2001,Jan,0.6673,0.6671,0.6712,0.6591,,0.01%,297,0.6662
02/01/2001,2001,Feb,0.6509,0.6507,0.6712,0.648,,-2.46%,296,0.6552
03/01/2001,2001,Mar,0.6343,0.6341,0.6512,0.6332,,-2.55%,295,0.6382
04/01/2001,2001,Apr,0.6513,0.6511,0.6523,0.632,,2.68%,294,0.6467
05/01/2001,2001,May,0.65,0.6498,0.6547,0.6427,,-0.20%,293,0.6493
06/01/2001,2001,Jun,0.6602,0.6599,0.6623,0.65,,1.57%,292,0.6581
07/01/2001,2001,Jul,0.6521,0.6518,0.6636,0.6463,,-1.23%,291,0.6535
08/01/2001,2001,Aug,0.6446,0.6444,0.6564,0.6445,,-1.15%,290,0.6475
09/01/2001,2001,Sep,0.6331,0.633,0.6468,0.6325,,-1.78%,289,0.6364
10/01/2001,2001,Oct,0.6294,0.6293,0.6428,0.6294,,-0.58%,288,0.6327
11/01/2001,2001,Nov,0.6356,0.6354,0.6371,0.623,,0.99%,287,0.6328
