Date,Price,Open,High,Low,Vol.,Avg,ID
01/01/2000,227.75,211.25,236,207.75,183.72K,220.69,1
02/01/2000,224,227.5,235,220,471.20K,226.63,2
03/01/2000,244.5,223.75,249.5,222,638.21K,234.94,3
04/01/2000,232,244,248,231.25,535.26K,238.81,4
05/01/2000,233,236,258.25,231.5,653.16K,239.69,5
06/01/2000,195.75,236.25,241,195,350.48K,217.00,6
07/01/2000,188.5,196.5,197.25,181.25,195.56K,190.88,7
08/01/2000,192.75,189.75,193.5,182,4.76K,189.50,8
09/01/2000,197.75,191.75,199,185.25,429.95K,193.44,9
10/01/2000,206,196.75,211,196.75,909.05K,202.63,10
11/01/2000,212.75,205,217.75,204.5,435.55K,210.00,11
12/01/2000,231.75,213,232,207,349.94K,220.94,12
01/01/2001,217,231.5,232,215,547.93K,223.88,13
02/01/2001,222.5,217,223.5,216.5,392.22K,219.88,14
03/01/2001,212,222,225.75,211,423.80K,217.69,15
04/01/2001,207.5,212.75,222.75,201.5,562.50K,211.13,16
05/01/2001,200.5,207.5,211.5,195.75,372.28K,203.81,17
06/01/2001,197.25,200,209.25,192,272.48K,199.63,18
07/01/2001,226.25,197,237,194,316.98K,213.56,19
08/01/2001,227.75,223.75,234,216.75,1.53K,225.56,20
09/01/2001,214.5,226.5,227.25,213.75,476.62K,220.50,21
10/01/2001,205.5,214,216.75,202,848.06K,209.56,22
11/01/2001,212.5,205,214.75,201.5,382.10K,208.44,23
12/01/2001,209,213,217.5,207.25,264.13K,211.69,24
01/01/2002,213,209,223.25,207.75,391.50K,213.25,25
02/01/2002,207.5,212.75,216.5,205.25,438.11K,210.50,26
03/01/2002,209,207,215.75,206.25,384.08K,209.50,27
04/01/2002,200.5,208.5,211.75,199.25,503.79K,205.00,28
05/01/2002,220.5,200.75,222.75,198,507.98K,210.50,29
06/01/2002,233,219,237,211,354.23K,225.00,30
07/01/2002,256.5,233,260,220.25,929.53K,242.44,31
08/01/2002,268,258,288.5,253.25,1.31M,266.94,32
09/01/2002,259,268.5,296,257.25,686.84K,270.19,33
10/01/2002,252,259,267.5,249.75,316.04K,257.06,34
11/01/2002,241.5,252,253.25,238.75,589.71K,246.38,35
12/01/2002,239.75,241.5,246.25,235,393.65K,240.63,36
01/01/2003,240.25,239.75,248.75,231.25,131.54K,240.00,37
02/01/2003,233.25,239.75,246,232,431.93K,237.75,38
03/01/2003,237,234,241.25,227.25,476.29K,234.88,39
04/01/2003,231.25,236.75,246.5,229.5,662.39K,236.00,40
05/01/2003,243,231,259,230.25,679.14K,240.81,41
06/01/2003,223.75,243.5,245.75,223.5,315.17K,234.13,42
07/01/2003,212,224,225.75,209.5,656.38K,217.81,43
08/01/2003,241.75,212.25,243.25,212,1.15M,227.31,44
09/01/2003,228.75,238.5,247.25,227.5,628.60K,235.50,45
10/01/2003,252.5,228.75,255,220,455.13K,239.06,46
11/01/2003,248.75,251.5,252.5,234,652.72K,246.69,47
12/01/2003,248.75,251,256.25,233,553.80K,247.25,48
01/01/2004,281.5,249.25,285.75,248.75,296.62K,266.31,49
02/01/2004,303,280.75,304.75,274,727.94K,290.63,50
03/01/2004,325.5,303,327.5,291,737.80K,311.75,51
04/01/2004,320.25,325,342,303,787.01K,322.56,52
05/01/2004,299.75,321.25,326.5,281.75,364.55K,307.31,53
06/01/2004,262.5,305,322.5,260,440.13K,287.50,54
07/01/2004,225.5,262.5,264.25,225,761.11K,244.31,55
08/01/2004,237.75,225.5,245.25,225,1.13M,233.38,56
09/01/2004,216.25,237,245,215,634.69K,228.31,57
10/01/2004,213,216,220,208.5,268.81K,214.38,58
11/01/2004,203.75,212.5,219,203.5,794.14K,209.69,59
12/01/2004,213,204,216.25,201,484.26K,208.56,60
01/01/2005,204.5,211.5,217.25,202.75,211.17K,209.00,61
02/01/2005,222.75,204.75,225,201.75,1.09M,213.56,62
03/01/2005,221,220.75,238,211.75,858.55K,222.88,63
04/01/2005,213.5,221.5,223.75,211.25,1.09M,217.50,64
05/01/2005,230.75,214.25,236,203,732.07K,221.00,65
06/01/2005,222.25,229.25,247,219,725.12K,229.38,66
07/01/2005,248.25,222,273,222,1.25M,241.31,67
08/01/2005,216.5,250,251.5,215,1.77M,233.25,68
09/01/2005,217.75,216.5,222.75,206.5,723.31K,215.88,69
10/01/2005,210.25,217.75,222,210,338.97K,215.00,70
11/01/2005,201.75,210,213.25,200.25,1.00M,206.31,71
12/01/2005,225,202.25,227,199.5,751.17K,213.44,72
01/01/2006,229,224.5,231.75,213.5,363.46K,224.69,73
02/01/2006,238.75,228.25,239.75,225.5,1.18M,233.06,74
03/01/2006,247.25,237.75,253,225.75,1.14M,240.94,75
04/01/2006,249,246.5,255.25,240.25,1.42M,247.75,76
05/01/2006,262.5,248.5,275,235.5,1.21M,255.38,77
06/01/2006,246,262,271.5,232.25,990.90K,252.94,78
07/01/2006,256,250,275.75,247.75,1.57M,257.38,79
08/01/2006,248,256.75,266,233.5,2.39M,251.06,80
09/01/2006,275.25,247.75,280.5,236,1.36M,259.88,81
10/01/2006,334.75,276.25,346.25,275.5,1.10M,308.19,82
11/01/2006,390.5,334.5,393.5,334.5,2.09M,363.25,83
12/01/2006,398.5,389.75,400,362,968.65K,387.56,84
