Date,Price,Open,High,Low,Vol.,ID,Avg
01/01/2000,0.7434,0.6425,0.82,0.6195,300.76K,1,0.7064
02/01/2000,0.7645,0.694,0.7785,0.687,224.79K,2,0.731
03/01/2000,0.6865,0.7205,0.7895,0.651,188.29K,3,0.7119
04/01/2000,0.6719,0.66,0.692,0.605,174.32K,4,0.6572
05/01/2000,0.7233,0.65,0.775,0.649,228.68K,5,0.6993
06/01/2000,0.8328,0.738,0.85,0.7285,193.25K,6,0.7873
07/01/2000,0.7565,0.815,0.822,0.752,194.44K,7,0.7864
08/01/2000,0.987,0.7625,1.005,0.757,350.00K,8,0.8779
09/01/2000,0.9256,0.971,1.064,0.9115,267.36K,9,0.968
10/01/2000,0.9358,0.9375,1.11,0.921,300.18K,10,0.9761
11/01/2000,1.0225,0.9273,1.08,0.896,307.22K,11,0.9815
12/01/2000,0.8909,0.9695,0.988,0.828,271.50K,12,0.9191
01/01/2001,0.7596,0.81,0.857,0.756,278.77K,13,0.7957
02/01/2001,0.7091,0.73,0.815,0.708,186.23K,14,0.7405
03/01/2001,0.7042,0.697,0.74,0.6645,232.31K,15,0.7014
04/01/2001,0.7531,0.698,0.797,0.669,205.71K,16,0.7293
05/01/2001,0.7736,0.757,0.815,0.737,211.20K,17,0.7707
06/01/2001,0.7183,0.7785,0.834,0.696,249.72K,18,0.7567
07/01/2001,0.701,0.7389,0.75,0.67,201.68K,19,0.715
08/01/2001,0.7729,0.707,0.789,0.705,246.29K,20,0.7435
09/01/2001,0.6699,0.7755,0.8555,0.606,192.89K,21,0.7267
10/01/2001,0.6104,0.6765,0.686,0.6,272.57K,22,0.6432
11/01/2001,0.5459,0.617,0.6435,0.507,293.67K,23,0.5784
12/01/2001,0.5533,0.551,0.6,0.507,224.39K,24,0.5528
01/01/2002,0.5316,0.5515,0.592,0.501,316.95K,25,0.544
02/01/2002,0.5715,0.534,0.574,0.514,241.34K,26,0.5484
03/01/2002,0.6733,0.571,0.679,0.5678,253.51K,27,0.6228
04/01/2002,0.6919,0.6885,0.728,0.604,268.85K,28,0.6781
05/01/2002,0.6411,0.6829,0.727,0.623,240.53K,29,0.6685
06/01/2002,0.6803,0.6475,0.687,0.6235,213.64K,30,0.6596
07/01/2002,0.6862,0.69,0.7204,0.658,257.27K,31,0.6887
08/01/2002,0.7635,0.6926,0.772,0.666,277.49K,32,0.7235
