Date,Price,Open,High,Low,Vol.,Change %,ID,AVG
01/01/2000,2.662,2.13,2.68,2.125,724.95K,14.30%,309,2.399
02/01/2000,2.761,2.67,2.78,2.465,780.93K,3.72%,308,2.669
03/01/2000,2.945,2.76,2.98,2.67,671.92K,6.66%,307,2.839
04/01/2000,3.141,2.94,3.175,2.815,565.02K,6.66%,306,3.018
05/01/2000,4.356,3.175,4.555,3.01,869.57K,38.68%,305,3.774
06/01/2000,4.476,4.349,4.715,3.8,933.45K,2.75%,304,4.335
07/01/2000,3.774,4.27,4.36,3.61,670.82K,-15.68%,303,4.004
08/01/2000,4.782,3.77,4.865,3.76,738.21K,26.71%,302,4.294
09/01/2000,5.186,4.78,5.479,4.741,752.04K,8.45%,301,5.047
10/01/2000,4.49,5.325,5.78,4.38,806.90K,-13.42%,300,4.994
11/01/2000,6.589,4.53,6.73,4.521,888.27K,46.75%,299,5.593
12/01/2000,9.775,6.579,10.1,6.51,449.38K,48.35%,298,8.241
01/01/2001,5.707,9.45,9.916,5.65,473.59K,-41.62%,297,7.681
02/01/2001,5.236,5.7,7.1,4.95,483.25K,-8.25%,296,5.747
03/01/2001,5.025,5.204,5.74,4.87,513.27K,-4.03%,295,5.21
04/01/2001,4.695,4.985,5.62,4.68,561.60K,-6.57%,294,4.995
05/01/2001,3.914,4.685,4.703,3.67,782.47K,-16.63%,293,4.243
06/01/2001,3.096,3.898,4.44,3.055,735.64K,-20.90%,292,3.622
07/01/2001,3.296,3.09,3.45,2.881,667.50K,6.46%,291,3.179
08/01/2001,2.38,3.3,3.62,2.245,716.34K,-27.79%,290,2.886
09/01/2001,2.244,2.283,2.72,1.76,360.10K,-5.71%,289,2.252
10/01/2001,3.291,2.22,3.44,2.14,814.19K,46.66%,288,2.773
11/01/2001,2.701,3.321,3.4,2.17,806.97K,-17.93%,287,2.898
12/01/2001,2.57,2.63,3.05,2.45,689.86K,-4.85%,286,2.675
01/01/2002,2.138,2.55,2.551,1.85,848.17K,-16.81%,285,2.272
02/01/2002,2.357,2.145,2.47,2.04,831.32K,10.24%,284,2.253
03/01/2002,3.283,2.359,3.56,2.335,1.15M,39.29%,283,2.884
04/01/2002,3.795,3.21,3.82,3.06,1.20M,15.60%,282,3.471
05/01/2002,3.217,3.76,3.875,3.19,1.11M,-15.23%,281,3.511
06/01/2002,3.245,3.23,3.58,3.05,937.99K,0.87%,280,3.276
07/01/2002,2.954,3.24,3.285,2.76,983.70K,-8.97%,279,3.06
08/01/2002,3.296,2.97,3.643,2.64,1.04M,11.58%,278,3.137
09/01/2002,4.138,3.25,4.2,3.1,960.89K,25.55%,277,3.672
10/01/2002,4.156,4.14,4.44,3.67,1.11M,0.43%,276,4.102
11/01/2002,4.2,4.16,4.4,3.74,809.37K,1.06%,275,4.125
12/01/2002,4.789,4.2,5.53,4.137,848.08K,14.02%,274,4.664
01/01/2003,5.605,4.9,5.85,4.85,950.49K,17.04%,273,5.301
02/01/2003,8.101,5.605,11.899,5.485,801.20K,44.53%,272,7.773
03/01/2003,5.06,8.18,8.18,4.98,584.71K,-37.54%,271,6.6
04/01/2003,5.385,5.075,5.83,4.865,637.47K,6.42%,270,5.289
05/01/2003,6.251,5.39,6.44,5.22,778.05K,16.08%,269,5.825
06/01/2003,5.411,6.25,6.719,5.22,804.86K,-13.44%,268,5.9
07/01/2003,4.718,5.405,5.64,4.58,718.52K,-12.81%,267,5.086
08/01/2003,4.731,4.715,5.38,4.615,660.80K,0.28%,266,4.86
09/01/2003,4.83,4.7,4.98,4.39,748.71K,2.09%,265,4.725
10/01/2003,4.893,4.83,5.8,4.4,914.89K,1.30%,264,4.981
11/01/2003,4.925,4.89,5.22,4.52,720.40K,0.65%,263,4.889
12/01/2003,6.189,4.89,7.55,4.87,742.87K,25.66%,262,5.875
01/01/2004,5.397,6.32,7.63,5.35,541.07K,-12.80%,261,6.174
02/01/2004,5.416,5.45,5.79,5.06,537.58K,0.35%,260,5.429
03/01/2004,5.933,5.35,5.95,5.2,702.78K,9.55%,259,5.608
04/01/2004,5.862,5.9,6.03,5.46,672.95K,-1.20%,258,5.813
05/01/2004,6.442,5.862,6.76,5.84,780.71K,9.89%,257,6.226
06/01/2004,6.155,6.5,6.73,5.96,788.85K,-4.46%,256,6.336
07/01/2004,6.112,6.155,6.46,5.77,724.17K,-0.70%,255,6.124
08/01/2004,5.074,6.045,6.045,5.03,682.15K,-16.98%,254,5.549
09/01/2004,6.795,5.06,7.23,4.52,761.44K,33.92%,253,5.901
10/01/2004,8.725,6.79,9.2,6.425,614.10K,28.40%,252,7.785
11/01/2004,7.62,8.825,9.2,6.6,638.99K,-12.66%,251,8.061
12/01/2004,6.149,7.62,7.775,6.1,569.87K,-19.30%,250,6.911
01/01/2005,6.321,5.949,6.805,5.71,653.23K,2.80%,249,6.196
02/01/2005,6.73,6.31,6.8,5.85,647.76K,6.47%,248,6.423
03/01/2005,7.653,6.721,7.74,6.55,676.99K,13.71%,247,7.166
04/01/2005,6.585,7.65,7.904,6.55,669.42K,-13.96%,246,7.172
05/01/2005,6.379,6.52,6.84,6.03,612.90K,-3.13%,245,6.442
06/01/2005,6.981,6.38,7.915,6.371,818.13K,9.44%,244,6.912
07/01/2005,7.885,6.98,8.29,6.949,631.27K,12.95%,243,7.526
08/01/2005,11.472,7.9,12.3,7.9,784.59K,45.49%,242,9.893
09/01/2005,13.921,11.419,14.6,10.608,591.60K,21.35%,241,12.637
10/01/2005,12.205,13.802,14.75,12.14,557.32K,-12.33%,240,13.224
11/01/2005,12.587,12.21,12.695,10.88,572.83K,3.13%,239,12.093
12/01/2005,11.225,12.62,15.78,10.72,599.53K,-10.82%,238,12.586
01/01/2006,9.316,10.7,11,7.75,536.07K,-17.01%,237,9.692
02/01/2006,6.714,9.325,9.825,6.58,621.11K,-27.93%,236,8.111
03/01/2006,7.21,6.714,7.562,6.45,589.16K,7.39%,235,6.984
04/01/2006,6.555,7.2,8.28,6.49,674.39K,-9.08%,234,7.131
05/01/2006,6.384,6.533,7.133,5.75,663.17K,-2.61%,233,6.45
06/01/2006,6.104,6.42,7.33,5.81,677.74K,-4.39%,232,6.416
07/01/2006,8.211,6.09,8.26,5.39,587.84K,34.52%,231,6.988
08/01/2006,6.048,8.25,8.619,5.85,764.03K,-26.34%,230,7.192
09/01/2006,5.62,5.89,6.13,4.05,707.55K,-7.08%,229,5.423
10/01/2006,7.534,5.606,7.929,5.46,914.72K,34.06%,228,6.632
11/01/2006,8.844,7.6,9.05,7.278,918.35K,17.39%,227,8.193
12/01/2006,6.299,8.732,8.749,5.74,852.36K,-28.78%,226,7.38
01/01/2007,7.667,6.205,7.966,6.03,1.15M,21.72%,225,6.967
02/01/2007,7.3,7.705,8.035,7.05,1.14M,-4.79%,224,7.523
03/01/2007,7.73,7.218,7.77,6.812,915.46K,5.89%,223,7.383
04/01/2007,7.863,7.768,8.01,7.25,1.02M,1.72%,222,7.723
05/01/2007,7.935,7.833,8.23,7.489,1.13M,0.92%,221,7.872
06/01/2007,6.773,7.955,8.21,6.551,1.24M,-14.64%,220,7.372
07/01/2007,6.191,6.72,6.849,5.754,1.09M,-8.59%,219,6.379
08/01/2007,5.468,6.201,7.192,5.192,1.40M,-11.68%,218,6.013
09/01/2007,6.87,5.44,7.039,5.249,1.26M,25.64%,217,6.15
10/01/2007,8.33,6.86,8.475,6.64,1.48M,21.25%,216,7.576
11/01/2007,7.302,8.373,8.712,7.18,1.10M,-12.34%,215,7.892
12/01/2007,7.483,7.209,7.54,6.838,1.02M,2.48%,214,7.268
01/01/2008,8.074,7.572,8.481,7.5,1.18M,7.90%,213,7.907
02/01/2008,9.366,8.065,9.498,7.58,1.46M,16.00%,212,8.627
03/01/2008,10.101,9.387,10.294,8.664,1.51M,7.85%,211,9.612
04/01/2008,10.843,10.033,11.36,9.29,1.72M,7.35%,210,10.382
05/01/2008,11.703,10.92,12.085,10.48,1.74M,7.93%,209,11.297
06/01/2008,13.353,11.791,13.448,11.633,1.68M,14.10%,208,12.556
07/01/2008,9.119,13.374,13.694,8.81,2.09M,-31.71%,207,11.249
08/01/2008,7.943,9.123,9.6,7.617,1.84M,-12.90%,206,8.571
09/01/2008,7.438,8.094,8.32,7.023,1.69M,-6.36%,205,7.719
10/01/2008,6.783,7.518,7.938,5.99,1.41M,-8.81%,204,7.057
11/01/2008,6.51,6.693,7.36,6.054,1.21M,-4.02%,203,6.654
12/01/2008,5.622,6.55,6.685,5.21,1.10M,-13.64%,202,6.017
01/01/2009,4.417,5.55,6.24,4.359,1.04M,-21.43%,201,5.142
02/01/2009,4.198,4.315,4.88,3.916,1.31M,-4.96%,200,4.327
03/01/2009,3.776,4.274,4.424,3.6,1.47M,-10.05%,199,4.019
04/01/2009,3.373,3.791,3.904,3.155,1.15M,-10.67%,198,3.556
05/01/2009,3.835,3.393,4.575,3.361,1.77M,13.70%,197,3.791
06/01/2009,3.835,3.869,4.387,3.55,2.27M,0.00%,196,3.91
07/01/2009,3.653,3.849,3.904,3.225,2.00M,-4.75%,195,3.658
08/01/2009,2.977,3.632,4.162,2.692,2.12M,-18.51%,194,3.366
09/01/2009,4.841,2.984,4.975,2.409,2.90M,62.61%,193,3.802
10/01/2009,5.045,4.825,5.318,4.23,2.80M,4.21%,192,4.855
11/01/2009,4.848,5.034,5.29,4.157,2.14M,-3.90%,191,4.832
12/01/2009,5.572,4.82,6.035,4.432,2.42M,14.93%,190,5.215
01/01/2010,5.131,5.705,6.108,5.06,2.01M,-7.91%,189,5.501
02/01/2010,4.813,5.247,5.68,4.739,2.06M,-6.20%,188,5.12
03/01/2010,3.869,4.772,4.869,3.82,1.92M,-19.61%,187,4.333
