"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471054","1.1.1","1169","","","","0"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471063","1.1.2","2372","","","","0"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471072","1.1.3","3560","","","","0"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471081","1.1.4","4674","","","","0"
"2006/2007","Canada","2016A000011124","Urea (gross) 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471055","1.2.1","823","","","","0"
"2006/2007","Canada","2016A000011124","Urea (gross) 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471064","1.2.2","1681","","","","0"
"2006/2007","Canada","2016A000011124","Urea (gross) 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471073","1.2.3","2591","","","","0"
"2006/2007","Canada","2016A000011124","Urea (gross) 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471082","1.2.4","3433","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471056","1.3.1","306","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471065","1.3.2","603","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471074","1.3.3","937","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471083","1.3.4","1284","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471057","1.4.1","106","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471066","1.4.2","214","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471075","1.4.3","331","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471084","1.4.4","438","","","","0"
