"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471090","1.1.1","30","","","","0"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471198","1.1.2","210","","","","0"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471306","1.1.3","213","","","","0"
"2006/2007","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471414","1.1.4","531","","","","0"
"2006/2007","Canada","2016A000011124","Urea 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471091","1.2.1","410","","","","0"
"2006/2007","Canada","2016A000011124","Urea 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471199","1.2.2","917","","","","0"
"2006/2007","Canada","2016A000011124","Urea 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471307","1.2.3","1207","","","","0"
"2006/2007","Canada","2016A000011124","Urea 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471415","1.2.4","1750","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471092","1.3.1","197","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471200","1.3.2","365","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471308","1.3.3","424","","","","0"
"2006/2007","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471416","1.3.4","774","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471093","1.4.1","4","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471201","1.4.2","40","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471309","1.4.3","50","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471417","1.4.4","119","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to September","Metric tonnes","214","thousands","3","v52471094","1.5.1","23","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to December","Metric tonnes","214","thousands","3","v52471202","1.5.2","140","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to March","Metric tonnes","214","thousands","3","v52471310","1.5.3","205","","","","0"
"2006/2007","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to June","Metric tonnes","214","thousands","3","v52471418","1.5.4","508","","","","0"
"2006/2007","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to September","Metric tonnes","214","thousands","3","v52471095","1.6.1","127","","","","0"
"2006/2007","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to December","Metric tonnes","214","thousands","3","v52471203","1.6.2","434","","","","0"
"2006/2007","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to March","Metric tonnes","214","thousands","3","v52471311","1.6.3","674","","","","0"
"2006/2007","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to June","Metric tonnes","214","thousands","3","v52471419","1.6.4","1091","","","","0"
"2006/2007","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to September","Metric tonnes","214","thousands","3","v52471096","1.7.1","3","","","","0"
"2006/2007","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to December","Metric tonnes","214","thousands","3","v52471204","1.7.2","28","","","","0"
"2006/2007","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to March","Metric tonnes","214","thousands","3","v52471312","1.7.3","40","","","","0"
"2006/2007","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to June","Metric tonnes","214","thousands","3","v52471420","1.7.4","83","","","","0"
"2006/2007","Canada","2016A000011124","Potash 0-0-60-0","July to September","Metric tonnes","214","thousands","3","v52471097","1.8.1","91","","","","0"
"2006/2007","Canada","2016A000011124","Potash 0-0-60-0","July to December","Metric tonnes","214","thousands","3","v52471205","1.8.2","191","","","","0"
"2006/2007","Canada","2016A000011124","Potash 0-0-60-0","July to March","Metric tonnes","214","thousands","3","v52471313","1.8.3","296","","","","0"
"2006/2007","Canada","2016A000011124","Potash 0-0-60-0","July to June","Metric tonnes","214","thousands","3","v52471421","1.8.4","625","","","","0"
"2006/2007","Canada","2016A000011124","Other fertilizer products","July to September","Metric tonnes","214","thousands","3","v52471098","1.9.1","38","","","","0"
"2006/2007","Canada","2016A000011124","Other fertilizer products","July to December","Metric tonnes","214","thousands","3","v52471206","1.9.2","78","","","","0"
"2006/2007","Canada","2016A000011124","Other fertilizer products","July to March","Metric tonnes","214","thousands","3","v52471314","1.9.3","106","","","","0"
"2006/2007","Canada","2016A000011124","Other fertilizer products","July to June","Metric tonnes","214","thousands","3","v52471422","1.9.4","198","","","","0"
"2006/2007","Eastern provinces","","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471099","2.1.1","3","","","","0"
"2006/2007","Eastern provinces","","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471207","2.1.2","6","","","","0"
"2006/2007","Eastern provinces","","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471315","2.1.3","8","","","","0"
"2006/2007","Eastern provinces","","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471423","2.1.4","30","","","","0"
"2006/2007","Eastern provinces","","Urea 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471100","2.2.1","70","","","","0"
"2006/2007","Eastern provinces","","Urea 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471208","2.2.2","169","","","","0"
"2006/2007","Eastern provinces","","Urea 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471316","2.2.3","242","","","","0"
"2006/2007","Eastern provinces","","Urea 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471424","2.2.4","370","","","","0"
"2006/2007","Eastern provinces","","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471101","2.3.1","38","","","","0"
"2006/2007","Eastern provinces","","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471209","2.3.2","105","","","","0"
"2006/2007","Eastern provinces","","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471317","2.3.3","127","","","","0"
"2006/2007","Eastern provinces","","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471425","2.3.4","227","","","","0"
"2006/2007","Eastern provinces","","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471102","2.4.1","4","","","","0"
"2006/2007","Eastern provinces","","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471210","2.4.2","31","","","","0"
"2006/2007","Eastern provinces","","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471318","2.4.3","41","","","","0"
"2006/2007","Eastern provinces","","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471426","2.4.4","110","","","","0"
"2006/2007","Eastern provinces","","Ammonium sulphate (AS) 20-0-0-24","July to September","Metric tonnes","214","thousands","3","v52471103","2.5.1","3","","","","0"
"2006/2007","Eastern provinces","","Ammonium sulphate (AS) 20-0-0-24","July to December","Metric tonnes","214","thousands","3","v52471211","2.5.2","10","","","","0"
"2006/2007","Eastern provinces","","Ammonium sulphate (AS) 20-0-0-24","July to March","Metric tonnes","214","thousands","3","v52471319","2.5.3","13","","","","0"
"2006/2007","Eastern provinces","","Ammonium sulphate (AS) 20-0-0-24","July to June","Metric tonnes","214","thousands","3","v52471427","2.5.4","25","","","","0"
"2006/2007","Eastern provinces","","Monoammonium phosphate (MAP) 11-52-0","July to September","Metric tonnes","214","thousands","3","v52471104","2.6.1","22","","","","0"
"2006/2007","Eastern provinces","","Monoammonium phosphate (MAP) 11-52-0","July to December","Metric tonnes","214","thousands","3","v52471212","2.6.2","45","","","","0"
"2006/2007","Eastern provinces","","Monoammonium phosphate (MAP) 11-52-0","July to March","Metric tonnes","214","thousands","3","v52471320","2.6.3","81","","","","0"
"2006/2007","Eastern provinces","","Monoammonium phosphate (MAP) 11-52-0","July to June","Metric tonnes","214","thousands","3","v52471428","2.6.4","159","","","","0"
"2006/2007","Eastern provinces","","Diammonium phosphate (DAP) 18-46-0","July to September","Metric tonnes","214","thousands","3","v52471105","2.7.1","3","","","","0"
"2006/2007","Eastern provinces","","Diammonium phosphate (DAP) 18-46-0","July to December","Metric tonnes","214","thousands","3","v52471213","2.7.2","28","","","","0"
"2006/2007","Eastern provinces","","Diammonium phosphate (DAP) 18-46-0","July to March","Metric tonnes","214","thousands","3","v52471321","2.7.3","40","","","","0"
"2006/2007","Eastern provinces","","Diammonium phosphate (DAP) 18-46-0","July to June","Metric tonnes","214","thousands","3","v52471429","2.7.4","83","","","","0"
"2006/2007","Eastern provinces","","Potash 0-0-60-0","July to September","Metric tonnes","214","thousands","3","v52471106","2.8.1","72","","","","0"
"2006/2007","Eastern provinces","","Potash 0-0-60-0","July to December","Metric tonnes","214","thousands","3","v52471214","2.8.2","108","","","","0"
"2006/2007","Eastern provinces","","Potash 0-0-60-0","July to March","Metric tonnes","214","thousands","3","v52471322","2.8.3","170","","","","0"
"2006/2007","Eastern provinces","","Potash 0-0-60-0","July to June","Metric tonnes","214","thousands","3","v52471430","2.8.4","374","","","","0"
"2006/2007","Eastern provinces","","Other fertilizer products","July to September","Metric tonnes","214","thousands","3","v52471107","2.9.1","23","","","","0"
"2006/2007","Eastern provinces","","Other fertilizer products","July to December","Metric tonnes","214","thousands","3","v52471215","2.9.2","43","","","","0"
"2006/2007","Eastern provinces","","Other fertilizer products","July to March","Metric tonnes","214","thousands","3","v52471323","2.9.3","51","","","","0"
"2006/2007","Eastern provinces","","Other fertilizer products","July to June","Metric tonnes","214","thousands","3","v52471431","2.9.4","87","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471108","3.1.1","0","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471216","3.1.2","","0s","","","0"
"2006/2007","Atlantic provinces","2016A00011","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471324","3.1.3","","0s","","","0"
"2006/2007","Atlantic provinces","2016A00011","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471432","3.1.4","","0s","","","0"
