REF_DATE,VALUE,ID
Jan-10,71.3,121
Feb-10,71.6,122
Mar-10,71.6,123
Apr-10,71.7,124
May-10,71.7,125
Jun-10,71.7,126
Jul-10,61.3,127
Aug-10,67.8,128
Sep-10,73.9,129
Oct-10,77,130
Nov-10,79.3,131
Dec-10,81,132
Jan-11,86.2,133
Feb-11,86.8,134
Mar-11,87,135
Apr-11,87.2,136
May-11,87.1,137
Jun-11,91.7,138
Jul-11,93.6,139
Aug-11,93.9,140
Sep-11,97,141
Oct-11,98.6,142
Nov-11,98.7,143
Dec-11,99,144
Jan-12,98.4,145
Feb-12,98.4,146
Mar-12,98.9,147
Apr-12,116.4,148
May-12,116.3,149
Jun-12,115.2,150
Jul-12,99,151
Aug-12,98.3,152
Sep-12,99.1,153
Oct-12,99.3,154
Nov-12,101.1,155
Dec-12,102.3,156
Jan-13,100.3,157
Feb-13,100.5,158
Mar-13,103,159
Apr-13,103,160
May-13,104.8,161
Jun-13,101.2,162
Jul-13,89.3,163
Aug-13,91,164
Sep-13,88.1,165
Oct-13,87.6,166
Nov-13,89.3,167
Dec-13,92.2,168
Jan-14,105,169
Feb-14,109.1,170
Mar-14,113.2,171
Apr-14,106.1,172
May-14,98,173
Jun-14,94.1,174
Jul-14,93.5,175
Aug-14,92.9,176
Sep-14,93.1,177
Oct-14,94.8,178
Nov-14,95.6,179
Dec-14,97.7,180
Jan-15,103.4,181
Feb-15,105.2,182
Mar-15,107,183
Apr-15,106.5,184
May-15,105.2,185
Jun-15,105,186
Jul-15,107.5,187
Aug-15,109.4,188
Sep-15,105.1,189
Oct-15,104.6,190
Nov-15,103.3,191
Dec-15,105.2,192
Jan-16,106.7,193
Feb-16,106.5,194
Mar-16,103.8,195
Apr-16,97.7,196
May-16,95.1,197
Jun-16,83.5,198
Jul-16,86.6,199
Aug-16,88.3,200
Sep-16,88.8,201
Oct-16,92.2,202
Nov-16,100.1,203
Dec-16,98.3,204
Jan-17,105.9,205
Feb-17,105.9,206
Mar-17,105.5,207
Apr-17,102.2,208
May-17,101.5,209
Jun-17,99.6,210
Jul-17,85.2,211
Aug-17,85.5,212
Sep-17,87.3,213
Oct-17,88.7,214
Nov-17,91.5,215
Dec-17,94.6,216
Jan-18,94,217
Feb-18,95.2,218
Mar-18,95.1,219
Apr-18,94.9,220
May-18,95.9,221
Jun-18,92.3,222
Jul-18,88.9,223
Aug-18,94.2,224
Sep-18,97.9,225
Oct-18,103.1,226
Nov-18,102.7,227
Dec-18,105.6,228
Jan-19,104.9,229
Feb-19,104.6,230
Mar-19,109.2,231
Apr-19,109.3,232
May-19,104.3,233
Jun-19,103.3,234
Jul-19,91,235
Aug-19,92.6,236
Sep-19,92,237
Oct-19,92.7,238
Nov-19,97.9,239
Dec-19,100.8,240
Jan-20,100,241
Feb-20,98.9,242
Mar-20,102.6,243
Apr-20,109,244
May-20,110.4,245
Jun-20,107,246
Jul-20,89.3,247
Aug-20,93.2,248
Sep-20,94.3,249
Oct-20,96.6,250
Nov-20,97,251
Dec-20,98.3,252
Jan-21,109,253
Feb-21,122.7,254
Mar-21,130.9,255
Apr-21,129.3,256
May-21,130,257
Jun-21,131.5,258
Jul-21,135.1,259
Aug-21,137.1,260
Sep-21,148.9,261
Oct-21,197.6,262
Nov-21,219.5,263
Dec-21,223.7,264
Jan-22,229.2,265
Feb-22,228,266
Mar-22,245.7,267
Apr-22,247.8,268
May-22,253.7,269
Jun-22,248.6,270
Jul-22,233.3,271
Aug-22,193,272
Sep-22,212,273
Oct-22,218.2,274
Nov-22,212,275
Dec-22,210.6,276
Jan-23,193.5,277
Feb-23,179.3,278
Mar-23,161.7,279
Apr-23,151.6,280
May-23,161.8,281
Jun-23,154,282
Jul-23,139.5,283
Aug-23,154.3,284
Sep-23,161.5,285
Oct-23,166.2,286
Nov-23,164.4,287
Dec-23,160.7,288
Jan-24,158.4,289
Feb-24,166.2,290
Mar-24,167.2,291
Apr-24,164.5,292
May-24,166.1,293
Jun-24,165.9,294
Jul-24,141.9,295
Aug-24,141.7,296
Sep-24,147.5,297
Oct-24,148.8,298
Nov-24,156.7,299
Dec-24,162.8,300
Jan-25,163.2,301
Feb-25,175.7,302
Mar-25,179,303
Apr-25,185.8,304
May-25,189.9,305
Jun-25,189.8,306
Jul-25,174.9,307
