Date,Grains,ID
Jan-00,60.3,1
Feb-00,59.5,2
Mar-00,62.8,3
Apr-00,61.7,4
May-00,61.5,5
Jun-00,60.5,6
Jul-00,59.6,7
Aug-00,58.1,8
Sep-00,64.9,9
Oct-00,65.8,10
Nov-00,66.8,11
Dec-00,67.7,12
01-Jan,67.1,13
01-Feb,66.4,14
01-Mar,66.1,15
01-Apr,67.3,16
01-May,67.4,17
01-Jun,65.5,18
01-Jul,67.2,19
01-Aug,79.4,20
01-Sep,78.8,21
01-Oct,78.6,22
01-Nov,76.8,23
01-Dec,78.3,24
02-Jan,80,25
02-Feb,79.9,26
02-Mar,80.6,27
02-Apr,80,28
02-May,79.8,29
02-Jun,80.7,30
02-Jul,82.6,31
02-Aug,91.3,32
02-Sep,88.5,33
02-Oct,86.7,34
02-Nov,85.1,35
02-Dec,85.9,36
03-Jan,87.1,37
03-Feb,87.1,38
03-Mar,86,39
03-Apr,84.5,40
03-May,83.9,41
03-Jun,83.4,42
03-Jul,82,43
03-Aug,82,44
03-Sep,73.5,45
03-Oct,72.9,46
03-Nov,72.9,47
03-Dec,73.9,48
04-Jan,73.4,49
04-Feb,74.6,50
04-Mar,75.7,51
04-Apr,76.3,52
04-May,77.1,53
04-Jun,76.3,54
04-Jul,73.5,55
04-Aug,79.6,56
04-Sep,67.7,57
04-Oct,63.7,58
04-Nov,62.1,59
04-Dec,59.6,60
05-Jan,58.9,61
05-Feb,58.2,62
05-Mar,58.4,63
05-Apr,57.2,64
05-May,56.6,65
05-Jun,56.6,66
05-Jul,57.1,67
05-Aug,62.8,68
05-Sep,56.7,69
05-Oct,56.2,70
05-Nov,54.8,71
05-Dec,55.8,72
06-Jan,57,73
06-Feb,56.9,74
06-Mar,55.9,75
06-Apr,56.2,76
06-May,55.9,77
06-Jun,56.4,78
06-Jul,55.9,79
06-Aug,65.5,80
06-Sep,68.9,81
06-Oct,72.6,82
06-Nov,75,83
06-Dec,76.4,84
07-Jan,77.4,85
07-Feb,78.3,86
07-Mar,80.6,87
07-Apr,79,88
07-May,78.6,89
07-Jun,80.6,90
07-Jul,79.5,91
07-Aug,122,92
07-Sep,134.7,93
07-Oct,132.9,94
07-Nov,128.2,95
07-Dec,131.4,96
08-Jan,133.6,97
08-Feb,138.4,98
08-Mar,138,99
08-Apr,137.2,100
08-May,140.2,101
08-Jun,142.9,102
08-Jul,137.4,103
08-Aug,124.3,104
08-Sep,115.5,105
08-Oct,113.8,106
08-Nov,112.9,107
08-Dec,112.1,108
09-Jan,111.1,109
09-Feb,108.4,110
09-Mar,107.1,111
09-Apr,105.6,112
09-May,105.4,113
09-Jun,106.2,114
09-Jul,106,115
09-Aug,95.9,116
09-Sep,81.2,117
09-Oct,79.3,118
09-Nov,83,119
09-Dec,80.3,120
10-Jan,79.5,121
10-Feb,77.3,122
10-Mar,76.5,123
10-Apr,75,124
10-May,75.1,125
10-Jun,75.1,126
10-Jul,78.3,127
10-Aug,95.2,128
10-Sep,99.9,129
10-Oct,101.8,130
10-Nov,102.4,131
10-Dec,105.1,132
11-Jan,106.6,133
11-Feb,110.4,134
11-Mar,109.4,135
11-Apr,109.5,136
11-May,109.6,137
11-Jun,111.6,138
11-Jul,111.7,139
11-Aug,118,140
11-Sep,121.2,141
11-Oct,119.2,142
11-Nov,116.6,143
11-Dec,117.3,144
12-Jan,117.8,145
12-Feb,117.7,146
12-Mar,117.4,147
12-Apr,118.3,148
12-May,118.2,149
12-Jun,118.5,150
12-Jul,121.5,151
12-Aug,128.8,152
12-Sep,129.9,153
12-Oct,128.5,154
12-Nov,130.7,155
12-Dec,133.5,156
13-Jan,136.1,157
13-Feb,135,158
13-Mar,136,159
13-Apr,135.4,160
13-May,134.6,161
13-Jun,133.7,162
13-Jul,126.9,163
13-Aug,115.9,164
13-Sep,112.8,165
13-Oct,108.4,166
13-Nov,101,167
13-Dec,100.7,168
14-Jan,98.7,169
14-Feb,97.8,170
14-Mar,97.9,171
14-Apr,97.3,172
14-May,98.2,173
14-Jun,96.3,174
14-Jul,95.8,175
14-Aug,98.4,176
14-Sep,95.2,177
14-Oct,97,178
14-Nov,99.2,179
14-Dec,102.7,180
15-Jan,105.5,181
15-Feb,106,182
15-Mar,106.4,183
15-Apr,105.8,184
15-May,105.9,185
15-Jun,104.2,186
15-Jul,108.7,187
15-Aug,107,188
15-Sep,109.2,189
15-Oct,108,190
15-Nov,105.4,191
15-Dec,108.7,192
16-Jan,110,193
16-Feb,109.2,194
16-Mar,109.8,195
16-Apr,108.7,196
16-May,111,197
16-Jun,110,198
16-Jul,105.5,199
16-Aug,97.8,200
16-Sep,96.8,201
16-Oct,99.3,202
16-Nov,101.8,203
16-Dec,102.7,204
17-Jan,102.3,205
17-Feb,100.6,206
17-Mar,102.4,207
17-Apr,100.9,208
17-May,102.6,209
17-Jun,104.8,210
17-Jul,108.7,211
