REF_DATE,VALUE,ID
Jan-00,74.8,1
Feb-00,75.5,2
Mar-00,76.1,3
Apr-00,76.1,4
May-00,76.4,5
Jun-00,76.4,6
Jul-00,76.4,7
Aug-00,76.4,8
Sep-00,76.7,9
Oct-00,77.4,10
Nov-00,77.9,11
Dec-00,77.5,12
Jan-01,77.1,13
Feb-01,77.5,14
Mar-01,77.8,15
Apr-01,78.2,16
May-01,78.5,17
Jun-01,77.5,18
Jul-01,76.9,19
Aug-01,76.9,20
Sep-01,77.5,21
Oct-01,76.4,22
Nov-01,76.3,23
Dec-01,75.5,24
Jan-02,76.2,25
Feb-02,76.6,26
Mar-02,77.1,27
Apr-02,77.3,28
May-02,76.8,29
Jun-02,76.6,30
Jul-02,76.8,31
Aug-02,77.4,32
Sep-02,78,33
Oct-02,78.2,34
Nov-02,77.9,35
Dec-02,77.7,36
Jan-03,78.1,37
Feb-03,78.8,38
Mar-03,78.5,39
Apr-03,77.1,40
May-03,75.4,41
Jun-03,74.8,42
Jul-03,75.7,43
Aug-03,76.1,44
Sep-03,76.1,45
Oct-03,75.1,46
Nov-03,74.8,47
Dec-03,75,48
Jan-04,75.6,49
Feb-04,77.3,50
Mar-04,77.8,51
Apr-04,78.8,52
May-04,80.4,53
Jun-04,80,54
Jul-04,79.8,55
Aug-04,80.2,56
Sep-04,79.8,57
Oct-04,79.3,58
Nov-04,77.8,59
Dec-04,77.9,60
Jan-05,78.6,61
Feb-05,79.6,62
Mar-05,80,63
Apr-05,80.3,64
May-05,80.2,65
Jun-05,80,66
Jul-05,79.8,67
Aug-05,80.1,68
Sep-05,80.7,69
Oct-05,80.8,70
Nov-05,80.2,71
Dec-05,80,72
Jan-06,80.6,73
Feb-06,80.2,74
Mar-06,81,75
Apr-06,82,76
May-06,82.2,77
Jun-06,82.1,78
Jul-06,83.5,79
Aug-06,82.9,80
Sep-06,81.6,81
Oct-06,81.5,82
Nov-06,81.6,83
Dec-06,82.7,84
Jan-07,82.9,85
Feb-07,83.7,86
Mar-07,84.9,87
Apr-07,85.1,88
May-07,84.8,89
Jun-07,83.8,90
Jul-07,83.3,91
Aug-07,82.5,92
Sep-07,81.8,93
Oct-07,80.8,94
Nov-07,81.3,95
Dec-07,82.3,96
Jan-08,83.2,97
Feb-08,83.2,98
Mar-08,84.9,99
Apr-08,86.3,100
May-08,87.2,101
Jun-08,88.8,102
Jul-08,89.6,103
Aug-08,89.8,104
Sep-08,88.8,105
Oct-08,88.7,106
Nov-08,86.1,107
Dec-08,83.9,108
Jan-09,83.9,109
Feb-09,84.3,110
Mar-09,84.6,111
Apr-09,84.3,112
May-09,83.3,113
Jun-09,83.7,114
Jul-09,83.2,115
Aug-09,83.6,116
Sep-09,83.2,117
Oct-09,82.9,118
Nov-09,83.6,119
Dec-09,83.6,120
Jan-10,84.1,121
Feb-10,84.1,122
Mar-10,84.1,123
Apr-10,84.5,124
May-10,84.8,125
Jun-10,84.2,126
Jul-10,84.1,127
Aug-10,84.4,128
Sep-10,85.1,129
Oct-10,85.8,130
Nov-10,86.6,131
Dec-10,87.4,132
Jan-11,88,133
Feb-11,89,134
Mar-11,90.5,135
Apr-11,91.4,136
May-11,91,137
Jun-11,91,138
Jul-11,91,139
Aug-11,91.7,140
Sep-11,92.1,141
Oct-11,91.5,142
Nov-11,91.8,143
Dec-11,90.9,144
Jan-12,91.4,145
Feb-12,92.1,146
Mar-12,92.6,147
Apr-12,92.7,148
May-12,92,149
Jun-12,91.5,150
Jul-12,91.1,151
Aug-12,91.2,152
Sep-12,92.2,153
Oct-12,92,154
Nov-12,91.7,155
Dec-12,91.4,156
Jan-13,91.8,157
Feb-13,93.1,158
Mar-13,92.9,159
Apr-13,91.9,160
May-13,91.8,161
Jun-13,92,162
Jul-13,92.1,163
Aug-13,92.5,164
Sep-13,92.2,165
Oct-13,91.8,166
Nov-13,91.9,167
Dec-13,92.6,168
Jan-14,94,169
Feb-14,95.1,170
Mar-14,95.6,171
Apr-14,95.4,172
May-14,94.8,173
Jun-14,94.9,174
Jul-14,94.7,175
Aug-14,94.9,176
Sep-14,94.6,177
Oct-14,94,178
Nov-14,93.7,179
Dec-14,92.2,180
Jan-15,92,181
Feb-15,93.8,182
Mar-15,94,183
Apr-15,93.2,184
May-15,93.7,185
Jun-15,94.2,186
Jul-15,94.9,187
Aug-15,94.5,188
Sep-15,94.1,189
Oct-15,93.7,190
Nov-15,93.4,191
Dec-15,93.2,192
Jan-16,93.6,193
Feb-16,92.7,194
Mar-16,92.1,195
Apr-16,91.7,196
May-16,92.7,197
Jun-16,93.5,198
Jul-16,93.8,199
Aug-16,93.5,200
Sep-16,93.8,201
Oct-16,94.6,202
Nov-16,95,203
Dec-16,95.2,204
Jan-17,95.9,205
Feb-17,96.1,206
Mar-17,96.9,207
Apr-17,97.4,208
May-17,97.6,209
Jun-17,96.5,210
Jul-17,95.1,211
Aug-17,95.4,212
Sep-17,95.1,213
Oct-17,96.1,214
Nov-17,97.6,215
Dec-17,97.5,216
Jan-18,98.1,217
Feb-18,98.3,218
Mar-18,99.2,219
Apr-18,99.8,220
May-18,101,221
Jun-18,101.6,222
Jul-18,101.3,223
Aug-18,100.8,224
Sep-18,101,225
Oct-18,101.1,226
Nov-18,100.2,227
Dec-18,99.5,228
Jan-19,99.1,229
Feb-19,99.4,230
Mar-19,100.6,231
Apr-19,101.5,232
May-19,101.4,233
Jun-19,99.9,234
Jul-19,99.6,235
Aug-19,99.8,236
Sep-19,99.7,237
Oct-19,99.7,238
Nov-19,99.8,239
Dec-19,100,240
Jan-20,100,241
Feb-20,100,242
Mar-20,98.9,243
Apr-20,97,244
May-20,97.9,245
Jun-20,98,246
Jul-20,99.1,247
Aug-20,100.1,248
Sep-20,100.8,249
Oct-20,100.9,250
Nov-20,100.5,251
Dec-20,102.1,252
Jan-21,104.3,253
Feb-21,107.4,254
Mar-21,109.2,255
Apr-21,111.5,256
May-21,114.8,257
Jun-21,115,258
Jul-21,115,259
Aug-21,114.6,260
Sep-21,116,261
Oct-21,117.6,262
Nov-21,117.6,263
Dec-21,118.2,264
Jan-22,121.3,265
Feb-22,124.6,266
Mar-22,129,267
Apr-22,130.5,268
May-22,132.7,269
Jun-22,131.6,270
Jul-22,128.4,271
Aug-22,126.5,272
Sep-22,126.3,273
Oct-22,129.2,274
Nov-22,128.2,275
Dec-22,127.1,276
Jan-23,127.1,277
Feb-23,126.4,278
Mar-23,126.2,279
Apr-23,125.9,280
May-23,125.2,281
Jun-23,124.3,282
Jul-23,124.3,283
Aug-23,126.5,284
Sep-23,127,285
Oct-23,125.8,286
Nov-23,125.3,287
Dec-23,123.3,288
Jan-24,123.3,289
Feb-24,124.6,290
Mar-24,125.7,291
Apr-24,127.7,292
May-24,128,293
Jun-24,127.9,294
Jul-24,127.9,295
Aug-24,126.7,296
Sep-24,125.6,297
Oct-24,127.1,298
Nov-24,127.8,299
Dec-24,128.3,300
Jan-25,130.3,301
Feb-25,131.1,302
Mar-25,131.4,303
Apr-25,130.4,304
May-25,129.7,305
Jun-25,130.3,306
Jul-25,131.2,307
