REF_DATE,VALUE,ID
Jan-00,44.8,1
Feb-00,48.2,2
Mar-00,50.2,3
Apr-00,46.8,4
May-00,48.8,5
Jun-00,51.5,6
Jul-00,51.5,7
Aug-00,51.7,8
Sep-00,55.6,9
Oct-00,56.2,10
Nov-00,56.9,11
Dec-00,55.4,12
Jan-01,54,13
Feb-01,52.8,14
Mar-01,50.6,15
Apr-01,52.4,16
May-01,53.8,17
Jun-01,51.6,18
Jul-01,47.3,19
Aug-01,48.5,20
Sep-01,50.6,21
Oct-01,46.3,22
Nov-01,41.8,23
Dec-01,39.2,24
Jan-02,39.2,25
Feb-02,39.9,26
Mar-02,43.1,27
Apr-02,45.7,28
May-02,45.7,29
Jun-02,45.3,30
Jul-02,46.5,31
Aug-02,48.3,32
Sep-02,49.8,33
Oct-02,51.2,34
Nov-02,49.2,35
Dec-02,49.1,36
Jan-03,53.5,37
Feb-03,59.1,38
Mar-03,59.9,39
Apr-03,51.5,40
May-03,46.7,41
Jun-03,46.5,42
Jul-03,47.7,43
Aug-03,51.4,44
Sep-03,49.8,45
Oct-03,47.8,46
Nov-03,46.8,47
Dec-03,47.7,48
Jan-04,51.2,49
Feb-04,53.6,50
Mar-04,54.4,51
Apr-04,55.4,52
May-04,62.4,53
Jun-04,60.1,54
Jul-04,60.3,55
Aug-04,62.7,56
Sep-04,64,57
Oct-04,67.6,58
Nov-04,64.2,59
Dec-04,59.3,60
Jan-05,61.1,61
Feb-05,64.2,62
Mar-05,69.5,63
Apr-05,71.3,64
May-05,68.5,65
Jun-05,71.8,66
Jul-05,75.2,67
Aug-05,80.5,68
Sep-05,87.7,69
Oct-05,84.1,70
Nov-05,76,71
Dec-05,74.4,72
Jan-06,77,73
Feb-06,72.9,74
Mar-06,77.1,75
Apr-06,84.9,76
May-06,86,77
Jun-06,86.9,78
Jul-06,91.9,79
Aug-06,90.2,80
Sep-06,77.2,81
Oct-06,72.2,82
Nov-06,71.7,83
Dec-06,75.1,84
Jan-07,72.4,85
Feb-07,75.8,86
Mar-07,82.9,87
Apr-07,85.9,88
May-07,88.3,89
Jun-07,85.9,90
Jul-07,86.6,91
Aug-07,84.1,92
Sep-07,85.2,93
Oct-07,84.3,94
Nov-07,90.8,95
Dec-07,92.5,96
Jan-08,94.2,97
Feb-08,94.9,98
Mar-08,102.9,99
Apr-08,111.4,100
May-08,120.8,101
Jun-08,128.6,102
Jul-08,130.5,103
Aug-08,123.3,104
Sep-08,117.8,105
Oct-08,101.5,106
Nov-08,81.5,107
Dec-08,65.5,108
Jan-09,66.9,109
Feb-09,67.8,110
Mar-09,68.4,111
Apr-09,69.7,112
May-09,73.8,113
Jun-09,81.7,114
