Date,Year,Month,Price,Note: Price in Canadian Dollars
2013-01-01,2013,Jan,618.59,
2013-02-01,2013,Feb,619.64,
2013-03-01,2013,Mar,620.01,
2013-04-01,2013,Apr,624.14,
2013-05-01,2013,May,631.80,
2013-06-01,2013,Jun,629.45,
2013-07-01,2013,Jul,612.15,
2013-08-01,2013,Aug,536.76,
2013-09-01,2013,Sep,531.50,
2013-10-01,2013,Oct,529.33,
2013-11-01,2013,Nov,538.14,
2013-12-01,2013,Dec,542.24,
2014-01-01,2014,Jan,559.57,
2014-02-01,2014,Feb,679.00,
2014-03-01,2014,Mar,702.50,
2014-04-01,2014,Apr,721.00,
2014-05-01,2014,May,736.33,
2014-06-01,2014,Jun,747.80,
2014-07-01,2014,Jul,650.91,
2014-08-01,2014,Aug,622.50,
2014-09-01,2014,Sep,589.86,
2014-10-01,2014,Oct,591.41,
2014-11-01,2014,Nov,572.32,
2014-12-01,2014,Dec,562.42,
2015-01-01,2015,Jan,605.10,
2015-02-01,2015,Feb,632.52,
2015-03-01,2015,Mar,649.25,
2015-04-01,2015,Apr,652.05,
2015-05-01,2015,May,658.22,
2015-06-01,2015,Jun,639.16,
2015-07-01,2015,Jul,612.95,
2015-08-01,2015,Aug,570.75,
2015-09-01,2015,Sep,553.00,
2015-10-01,2015,Oct,554.00,
2015-11-01,2015,Nov,551.23,
2015-12-01,2015,Dec,547.05,
2016-01-01,2016,Jan,549.65,
2016-02-01,2016,Feb,547.09,
2016-03-01,2016,Mar,549.74,
2016-04-01,2016,Apr,553.39,
2016-05-01,2016,May,560.35,
2016-06-01,2016,Jun,527.95,
2016-07-01,2016,Jul,529.57,
2016-08-01,2016,Aug,497.23,
2016-09-01,2016,Sep,494.00,
2016-10-01,2016,Oct,489.39,
2016-11-01,2016,Nov,470.74,
2016-12-01,2016,Dec,484.14,
2017-01-01,2017,Jan,487.83,
2017-02-01,2017,Feb,500.05,
2017-03-01,2017,Mar,495.96,
2017-04-01,2017,Apr,500.86,
2017-05-01,2017,May,538.09,
2017-06-01,2017,Jun,534.95,
2017-07-01,2017,Jul,524.11,
2017-08-01,2017,Aug,495.30,
2017-09-01,2017,Sep,477.98,
2017-10-01,2017,Oct,467.64,
2017-11-01,2017,Nov,490.81,
2017-12-01,2017,Dec,487.98,
2018-01-01,2018,Jan,472.00,
2018-02-01,2018,Feb,466.58,
2018-03-01,2018,Mar,472.74,
2018-04-01,2018,Apr,488.09,
2018-05-01,2018,May,500.17,
2018-06-01,2018,Jun,502.61,
2018-07-01,2018,Jul,493.61,
2018-08-01,2018,Aug,496.01,
2018-09-01,2018,Sep,520.52,
2018-10-01,2018,Oct,540.88,
2018-11-01,2018,Nov,551.03,
2018-12-01,2018,Dec,551.89,
2019-01-01,2019,Jan,569.50,
2019-02-01,2019,Feb,563.68,
2019-03-01,2019,Mar,556.51,
2019-04-01,2019,Apr,560.17,
2019-05-01,2019,May,573.18,
2019-06-01,2019,Jun,550.78,
2019-07-01,2019,Jul,552.70,
2019-08-01,2019,Aug,540.57,
2019-09-01,2019,Sep,536.09,
2019-10-01,2019,Oct,545.79,
2019-11-01,2019,Nov,533.93,
2019-12-01,2019,Dec,536.72,
2020-01-01,2020,Jan,532.20,
2020-02-01,2020,Feb,530.47,
2020-03-01,2020,Mar,524.68,
2020-04-01,2020,Apr,510.86,
2020-05-01,2020,May,510.86,
2020-06-01,2020,Jun,510.86,
2020-07-01,2020,Jul,497.03,
2020-08-01,2020,Aug,493.94,
2020-09-01,2020,Sep,501.86,
2020-10-01,2020,Oct,495.12,
2020-11-01,2020,Nov,498.26,
2020-12-01,2020,Dec,538.08,
2021-01-01,2021,Jan,539.99,
2021-02-01,2021,Feb,566.83,
2021-03-01,2021,Mar,591.15,
2021-04-01,2021,Apr,588.80,
2021-05-01,2021,May,575.78,
2021-06-01,2021,Jun,609.45,
2021-07-01,2021,Jul,606.56,
2021-08-01,2021,Aug,632.12,
2021-09-01,2021,Sep,645.91,
2021-10-01,2021,Oct,783.91,
2021-11-01,2021,Nov,1043.00,
2021-12-01,2021,Dec,1139.28,
2022-01-01,2022,Jan,1171.74,
2022-02-01,2022,Feb,1149.40,
2022-03-01,2022,Mar,1316.93,
2022-04-01,2022,Apr,1348.86,
2022-05-01,2022,May,1331.36,
2022-06-01,2022,Jun,1073.47,
2022-07-01,2022,Jul,991.30,
2022-08-01,2022,Aug,1027.85,
2022-09-01,2022,Sep,1091.43,
2022-10-01,2022,Oct,1157.56,
2022-11-01,2022,Nov,1161.45,
2022-12-01,2022,Dec,1050.77,
2023-01-01,2023,Jan,1012.59,
2023-02-01,2023,Feb,959.37,
2023-03-01,2023,Mar,858.86,
2023-04-01,2023,Apr,773.95,
2023-05-01,2023,May,798.18,
2023-06-01,2023,Jun,783.81,
2023-07-01,2023,Jul,690.83,
2023-08-01,2023,Aug,762.50,
2023-09-01,2023,Sep,780.21,
2023-10-01,2023,Oct,814.38,
2023-11-01,2023,Nov,802.39,
2023-12-01,2023,Dec,745.83,
2024-01-01,2024,Jan,726.88,
2024-02-01,2024,Feb,724.44,
2024-03-01,2024,Mar,768.83,
2024-04-01,2024,Apr,794.78,
2024-05-01,2024,May,807.75,
2024-06-01,2024,Jun,832.72,
2024-07-01,2024,Jul,709.48,
2024-08-01,2024,Aug,686.35,
2024-09-01,2024,Sep,677.06,
2024-10-01,2024,Oct,686.45,
2024-11-01,2024,Nov,707.35,
2024-12-01,2024,Dec,720.27,
2025-01-01,2025,Jan,757.10,
2025-02-01,2025,Feb,797.28,
2025-03-01,2025,Mar,816.67,
2025-04-01,2025,Apr,867.94,
2025-05-01,2025,May,894.05,
2025-06-01,2025,Jun,1037.65,
