Date,Year,Month,Price
1996-04-01,1996,Apr,160.40
1996-05-01,1996,May,169.50
1996-06-01,1996,Jun,172.13
1996-07-01,1996,Jul,184.50
1996-08-01,1996,Aug,187.00
1996-09-01,1996,Sep,181.40
1996-10-01,1996,Oct,172.25
1996-11-01,1996,Nov,172.63
1996-12-01,1996,Dec,174.50
1997-01-01,1997,Jan,173.50
1997-02-01,1997,Feb,160.38
1997-03-01,1997,Mar,148.00
1997-04-01,1997,Apr,135.00
1997-05-01,1997,May,113.13
1997-06-01,1997,Jun,108.50
1997-07-01,1997,Jul,112.50
1997-08-01,1997,Aug,102.50
1997-09-01,1997,Sep,88.30
1997-10-01,1997,Oct,87.50
1997-11-01,1997,Nov,90.63
1997-12-01,1997,Dec,90.00
1998-01-01,1998,Jan,86.25
1998-02-01,1998,Feb,77.50
1998-03-01,1998,Mar,84.50
1998-04-01,1998,Apr,100.00
1998-05-01,1998,May,95.00
1998-06-01,1998,Jun,88.40
1998-07-01,1998,Jul,86.00
1998-08-01,1998,Aug,85.50
1998-09-01,1998,Sep,83.63
1998-10-01,1998,Oct,75.63
1998-11-01,1998,Nov,70.70
1998-12-01,1998,Dec,65.50
1999-01-01,1999,Jan,64.50
1999-02-01,1999,Feb,64.00
1999-03-01,1999,Mar,75.50
1999-04-01,1999,Apr,64.50
1999-05-01,1999,May,64.90
1999-06-01,1999,Jun,63.75
1999-07-01,1999,Jul,62.75
1999-08-01,1999,Aug,65.70
1999-09-01,1999,Sep,67.50
1999-10-01,1999,Oct,65.38
1999-11-01,1999,Nov,66.00
1999-12-01,1999,Dec,66.83
2000-01-01,2000,Jan,77.40
2000-02-01,2000,Feb,90.13
2000-03-01,2000,Mar,88.75
2000-04-01,2000,Apr,83.25
2000-05-01,2000,May,91.00
2000-06-01,2000,Jun,105.13
2000-07-01,2000,Jul,121.70
2000-08-01,2000,Aug,133.38
2000-09-01,2000,Sep,113.88
2000-10-01,2000,Oct,111.10
2000-11-01,2000,Nov,99.38
2000-12-01,2000,Dec,96.00
2001-01-01,2001,Jan,121.00
2001-02-01,2001,Feb,105.25
2001-03-01,2001,Mar,98.88
2001-04-01,2001,Apr,95.30
2001-05-01,2001,May,85.00
2001-06-01,2001,Jun,87.50
2001-07-01,2001,Jul,87.50
2001-08-01,2001,Aug,88.75
2001-09-01,2001,Sep,94.50
2001-10-01,2001,Oct,96.10
2001-11-01,2001,Nov,96.50
2001-12-01,2001,Dec,101.17
2002-01-01,2002,Jan,104.13
2002-02-01,2002,Feb,99.63
2002-03-01,2002,Mar,90.25
2002-04-01,2002,Apr,84.70
2002-05-01,2002,May,85.50
2002-06-01,2002,Jun,92.75
2002-07-01,2002,Jul,94.20
2002-08-01,2002,Aug,105.00
2002-09-01,2002,Sep,93.00
2002-10-01,2002,Oct,92.25
2002-11-01,2002,Nov,92.25
2002-12-01,2002,Dec,99.38
2003-01-01,2003,Jan,112.00
2003-02-01,2003,Feb,132.13
2003-03-01,2003,Mar,138.90
2003-04-01,2003,Apr,118.63
2003-05-01,2003,May,128.13
2003-06-01,2003,Jun,133.90
2003-07-01,2003,Jul,142.75
2003-08-01,2003,Aug,141.50
2003-09-01,2003,Sep,146.80
2003-10-01,2003,Oct,150.63
2003-11-01,2003,Nov,153.50
2003-12-01,2003,Dec,159.38
2004-01-01,2004,Jan,160.25
2004-02-01,2004,Feb,134.50
2004-03-01,2004,Mar,130.50
2004-04-01,2004,Apr,128.38
2004-05-01,2004,May,135.90
2004-06-01,2004,Jun,158.25
2004-07-01,2004,Jul,185.00
2004-08-01,2004,Aug,196.20
2004-09-01,2004,Sep,218.13
2004-10-01,2004,Oct,242.13
2004-11-01,2004,Nov,224.50
2004-12-01,2004,Dec,185.25
2005-01-01,2005,Jan,184.60
2005-02-01,2005,Feb,185.75
2005-03-01,2005,Mar,217.13
2005-04-01,2005,Apr,242.13
2005-05-01,2005,May,256.00
2005-06-01,2005,Jun,217.50
2005-07-01,2005,Jul,221.88
2005-08-01,2005,Aug,208.50
2005-09-01,2005,Sep,210.38
2005-10-01,2005,Oct,215.50
2005-11-01,2005,Nov,235.00
2005-12-01,2005,Dec,213.88
2006-01-01,2006,Jan,202.30
2006-02-01,2006,Feb,213.88
2006-03-01,2006,Mar,243.13
2006-04-01,2006,Apr,247.50
2006-05-01,2006,May,229.50
