"Date","Price","Open","High","Low","Vol.","Change %"
"2025-09-01","442.25","442.25","442.25","442.25","","-3.86%"
"2025-08-01","460.00","460.00","460.00","460.00","0.07K","-0.38%"
"2025-07-01","461.75","461.75","461.75","461.75","0.05K","5.54%"
"2025-06-01","437.50","437.50","437.50","437.50","0.05K","10.06%"
"2025-05-01","397.50","397.50","397.50","397.50","","5.30%"
"2025-04-01","377.50","377.50","377.50","377.50","0.10K","-1.31%"
"2025-03-01","382.50","382.50","382.50","382.50","0.10K","-6.13%"
"2025-02-01","407.50","407.50","407.50","407.50","0.30K","-0.61%"
"2025-01-01","410.00","410.00","410.00","410.00","","11.56%"
"2024-12-01","367.50","367.50","367.50","367.50","0.13K","7.61%"
"2024-11-01","341.50","341.50","341.50","341.50","0.23K","-8.64%"
"2024-10-01","373.80","373.80","373.80","373.80","0.20K","2.69%"
"2024-09-01","364.00","364.00","364.00","364.00","","5.81%"
"2024-08-01","344.00","344.00","344.00","344.00","","-2.13%"
"2024-07-01","351.50","351.50","351.50","351.50","","-2.77%"
"2024-06-01","361.50","361.50","361.50","361.50","","12.27%"
"2024-04-01","322.00","322.00","322.00","322.00","0.10K","-12.05%"
"2024-03-01","366.13","366.13","366.13","366.13","","-5.76%"
"2024-02-01","388.50","388.50","388.50","388.50","","2.24%"
"2024-01-01","380.00","380.00","380.00","380.00","0.30K","8.98%"
"2023-11-01","348.70","348.70","348.70","348.70","0.09K","-11.72%"
"2023-10-01","395.00","395.00","395.00","395.00","","-5.39%"
"2023-09-01","417.50","417.50","417.50","417.50","","4.90%"
"2023-08-01","398.00","398.00","398.00","398.00","","-11.06%"
"2023-07-01","447.50","447.50","447.50","447.50","","36.02%"
"2023-06-01","329.00","329.00","329.00","329.00","","10.40%"
"2023-05-01","298.00","298.00","298.00","298.00","0.05K","-17.22%"
"2023-04-01","360.00","360.00","360.00","360.00","","14.29%"
"2023-03-01","315.00","315.00","315.00","315.00","0.05K","-16.00%"
"2023-02-01","375.00","375.00","375.00","375.00","0.25K","-26.27%"
"2022-12-01","508.63","508.63","508.63","508.63","","-3.58%"
"2022-11-01","527.50","527.50","527.50","527.50","0.03K","-17.98%"
"2022-10-01","643.13","643.13","643.13","643.13","","-1.44%"
"2022-09-01","652.50","652.50","652.50","652.50","0.08K","-12.71%"
"2022-08-01","747.50","747.50","747.50","747.50","","14.12%"
"2022-07-01","655.00","655.00","655.00","655.00","","7.73%"
"2022-06-01","608.00","608.00","608.00","608.00","","-7.18%"
"2022-05-01","655.00","655.00","655.00","655.00","0.02K","-24.00%"
"2022-04-01","861.88","861.88","861.88","861.88","","-6.62%"
"2022-03-01","923.00","923.00","923.00","923.00","","15.38%"
"2022-02-01","800.00","800.00","800.00","800.00","0.10K","8.47%"
"2022-01-01","737.50","737.50","737.50","737.50","0.30K","-8.67%"
"2021-12-01","807.50","807.50","807.50","807.50","","-7.45%"
"2021-11-01","872.50","872.50","872.50","872.50","0.10K","6.08%"
"2021-10-01","822.50","822.50","822.50","822.50","0.05K","54.63%"
"2021-09-01","531.90","531.90","531.90","531.90","","10.24%"
"2021-08-01","482.50","482.50","482.50","482.50","","2.12%"
"2021-07-01","472.50","472.50","472.50","472.50","","-4.83%"
"2021-06-01","496.50","496.50","496.50","496.50","0.15K","16.14%"
"2021-05-01","427.50","427.50","427.50","427.50","","16.33%"
"2021-04-01","367.50","367.50","367.50","367.50","0.05K","-3.92%"
"2021-03-01","382.50","382.50","382.50","382.50","","-2.92%"
"2021-02-01","394.00","394.00","394.00","394.00","","1.94%"
"2021-01-01","386.50","386.50","386.50","386.50","0.15K","37.60%"
"2020-12-01","280.88","280.88","280.88","280.88","","0.49%"
"2020-11-01","279.50","279.50","279.50","279.50","0.10K","7.09%"
"2020-10-01","261.00","261.00","261.00","261.00","0.06K","-1.32%"
"2020-09-01","264.50","264.50","264.50","264.50","0.15K","-3.47%"
"2020-08-01","274.00","274.00","274.00","274.00","","3.01%"
"2020-07-01","266.00","266.00","266.00","266.00","","12.47%"
"2020-06-01","236.50","236.50","236.50","236.50","","6.29%"
"2020-05-01","222.50","222.50","222.50","222.50","0.05K","-5.68%"
"2020-04-01","235.90","235.90","235.90","235.90","0.05K","-1.30%"
"2020-03-01","239.00","239.00","239.00","239.00","0.25K","-7.90%"
"2020-02-01","259.50","259.50","259.50","259.50","0.10K","8.13%"
"2020-01-01","240.00","240.00","240.00","240.00","","-2.64%"
"2019-12-01","246.50","246.50","246.50","246.50","0.05K","5.57%"
"2019-11-01","233.50","233.50","233.50","233.50","","-13.84%"
"2019-10-01","271.00","271.00","271.00","271.00","","-2.69%"
"2019-09-01","278.50","278.50","278.50","278.50","","0.36%"
"2019-08-01","277.50","277.50","277.50","277.50","","-2.97%"
"2019-07-01","286.00","286.00","286.00","286.00","","-2.56%"
