"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","449.75","455.25","455.25","442.75","","-2.23%"
"08/01/2025","460.00","460.00","460.00","460.00","","-4.17%"
"07/01/2025","480.00","450.00","485.00","450.00","0.01K","7.26%"
"06/01/2025","447.50","397.50","450.00","395.00","","11.88%"
"05/01/2025","400.00","385.00","400.00","379.00","","4.58%"
"04/01/2025","382.50","405.00","405.00","382.50","0.25K","-1.92%"
"03/01/2025","390.00","437.00","437.00","375.00","0.15K","-8.88%"
"02/01/2025","428.00","443.50","459.00","428.00","0.05K","-3.28%"
"01/01/2025","442.50","400.50","442.50","400.50","0.01K","10.49%"
"12/01/2024","400.50","354.00","400.50","354.00","0.05K","12.18%"
"11/01/2024","357.00","373.50","373.50","351.50","","-8.39%"
"10/01/2024","389.70","376.50","407.50","376.50","0.15K","4.76%"
"09/01/2024","372.00","372.00","372.00","372.00","0.05K","9.41%"
"08/01/2024","340.00","340.00","340.00","340.00","0.05K","-3.13%"
"07/01/2024","351.00","351.00","351.00","351.00","","-3.84%"
"06/01/2024","365.00","365.00","365.00","365.00","0.07K","14.06%"
"05/01/2024","320.00","320.00","320.00","320.00","0.10K","6.67%"
"04/01/2024","300.00","300.00","300.00","300.00","0.05K","-15.70%"
"03/01/2024","355.88","355.88","355.88","355.88","","-11.63%"
"02/01/2024","402.70","402.70","402.70","402.70","0.05K","-0.57%"
"01/01/2024","405.00","405.00","405.00","405.00","0.10K","22.54%"
"12/01/2023","330.50","330.50","330.50","330.50","0.10K","-11.39%"
"11/01/2023","373.00","373.00","373.00","373.00","","-9.02%"
"10/01/2023","410.00","410.00","410.00","410.00","0.05K","-6.29%"
"09/01/2023","437.50","437.50","437.50","437.50","0.05K","5.42%"
"07/01/2023","415.00","415.00","415.00","415.00","0.02K","33.27%"
"06/01/2023","311.40","311.40","311.40","311.40","","6.46%"
"05/01/2023","292.50","292.50","292.50","292.50","0.10K","-15.83%"
"04/01/2023","347.50","347.50","347.50","347.50","0.16K","12.10%"
"03/01/2023","310.00","310.00","310.00","310.00","","-19.27%"
"02/01/2023","384.00","384.00","384.00","384.00","","-7.47%"
"01/01/2023","415.00","415.00","415.00","415.00","","-19.42%"
"12/01/2022","515.00","515.00","515.00","515.00","0.30K","-3.74%"
"11/01/2022","535.00","535.00","535.00","535.00","0.18K","-12.30%"
"10/01/2022","610.00","610.00","610.00","610.00","0.05K","-14.69%"
"09/01/2022","715.00","715.00","715.00","715.00","0.02K","-18.29%"
"08/01/2022","875.00","875.00","875.00","875.00","","12.90%"
"07/01/2022","775.00","775.00","775.00","775.00","","7.64%"
"06/01/2022","720.00","720.00","720.00","720.00","0.16K","7.46%"
"05/01/2022","670.00","670.00","670.00","670.00","0.06K","-17.79%"
"04/01/2022","815.00","815.00","815.00","815.00","","-21.82%"
"03/01/2022","1,042.50","1,042.50","1,042.50","1,042.50","0.13K","29.50%"
"02/01/2022","805.00","805.00","805.00","805.00","0.20K","10.27%"
"01/01/2022","730.00","730.00","730.00","730.00","0.20K","-15.46%"
"12/01/2021","863.50","863.50","863.50","863.50","","-7.40%"
"11/01/2021","932.50","932.50","932.50","932.50","","12.52%"
"10/01/2021","828.75","828.75","828.75","828.75","","60.24%"
"09/01/2021","517.20","517.20","517.20","517.20","","14.93%"
"08/01/2021","450.00","450.00","450.00","450.00","0.15K","-1.64%"
"07/01/2021","457.50","457.50","457.50","457.50","","-2.66%"
"06/01/2021","470.00","470.00","470.00","470.00","0.15K","17.50%"
"05/01/2021","400.00","400.00","400.00","400.00","0.05K","11.86%"
"04/01/2021","357.60","357.60","357.60","357.60","","-2.69%"
"03/01/2021","367.50","367.50","367.50","367.50","","-5.16%"
"02/01/2021","387.50","387.50","387.50","387.50","","3.75%"
"01/01/2021","373.50","373.50","373.50","373.50","0.05K","31.98%"
"12/01/2020","283.00","283.00","283.00","283.00","0.05K","1.62%"
"11/01/2020","278.50","278.50","278.50","278.50","","10.74%"
"10/01/2020","251.50","251.50","251.50","251.50","","-1.57%"
"09/01/2020","255.50","255.50","255.50","255.50","0.05K","-4.49%"
"08/01/2020","267.50","267.50","267.50","267.50","","3.88%"
"07/01/2020","257.50","257.50","257.50","257.50","","12.69%"
"06/01/2020","228.50","228.50","228.50","228.50","","6.78%"
"05/01/2020","214.00","214.00","214.00","214.00","","-9.21%"
"04/01/2020","235.70","235.70","235.70","235.70","","-0.76%"
"03/01/2020","237.50","237.50","237.50","237.50","0.05K","-1.66%"
"01/01/2020","241.50","241.50","241.50","241.50","","-1.23%"
"12/01/2019","244.50","244.50","244.50","244.50","","4.71%"
"11/01/2019","233.50","233.50","233.50","233.50","0.05K","-6.60%"
"10/01/2019","250.00","250.00","250.00","250.00","0.05K","-3.85%"
"09/01/2019","260.00","260.00","260.00","260.00","0.15K","-1.14%"
"08/01/2019","263.00","263.00","263.00","263.00","0.20K","-2.41%"
"07/01/2019","269.50","269.50","269.50","269.50","0.45K","-5.44%"
