"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","425.00","425.00","425.00","425.00","","-6.59%"
"08/01/2025","455.00","455.00","455.00","455.00","0.05K","-2.78%"
"07/01/2025","468.00","468.00","468.00","468.00","","7.59%"
"06/01/2025","435.00","435.00","435.00","435.00","0.09K","12.26%"
"05/01/2025","387.50","387.50","387.50","387.50","","1.97%"
"04/01/2025","380.00","380.00","380.00","380.00","0.10K","-1.30%"
"03/01/2025","385.00","385.00","385.00","385.00","0.05K","-3.75%"
"02/01/2025","400.00","400.00","400.00","400.00","","3.36%"
"01/01/2025","387.00","387.00","387.00","387.00","0.20K","4.88%"
"12/01/2024","369.00","369.00","369.00","369.00","0.05K","7.42%"
"11/01/2024","343.50","343.50","343.50","343.50","0.05K","-6.86%"
"10/01/2024","368.80","368.80","368.80","368.80","","4.18%"
"09/01/2024","354.00","354.00","354.00","354.00","0.07K","7.11%"
"08/01/2024","330.50","330.50","330.50","330.50","","-3.50%"
"07/01/2024","342.50","342.50","342.50","342.50","","-0.72%"
"06/01/2024","345.00","345.00","345.00","345.00","","9.87%"
"05/01/2024","314.00","314.00","314.00","314.00","","9.98%"
"04/01/2024","285.50","285.50","285.50","285.50","0.10K","-19.15%"
"03/01/2024","353.13","353.13","353.13","353.13","","-7.31%"
"02/01/2024","381.00","381.00","381.00","381.00","","0.26%"
"01/01/2024","380.00","380.00","380.00","380.00","","18.75%"
"12/01/2023","320.00","320.00","320.00","320.00","","-10.09%"
"11/01/2023","355.90","355.90","355.90","355.90","","-7.56%"
"10/01/2023","385.00","385.00","385.00","385.00","","-8.33%"
"09/01/2023","420.00","420.00","420.00","420.00","0.10K","7.64%"
"08/01/2023","390.20","390.20","390.20","390.20","","-7.32%"
"07/01/2023","421.00","421.00","421.00","421.00","0.12K","31.97%"
"06/01/2023","319.00","319.00","319.00","319.00","","12.92%"
"05/01/2023","282.50","282.50","282.50","282.50","0.05K","-15.04%"
"04/01/2023","332.50","332.50","332.50","332.50","","12.71%"
"03/01/2023","295.00","295.00","295.00","295.00","0.10K","-10.88%"
"02/01/2023","331.00","331.00","331.00","331.00","","-13.46%"
"01/01/2023","382.50","382.50","382.50","382.50","","-20.73%"
"12/01/2022","482.50","482.50","482.50","482.50","","-6.31%"
"11/01/2022","515.00","515.00","515.00","515.00","0.17K","-13.81%"
"10/01/2022","597.50","597.50","597.50","597.50","0.10K","-2.05%"
"09/01/2022","610.00","610.00","610.00","610.00","0.05K","-20.78%"
"08/01/2022","770.00","770.00","770.00","770.00","0.05K","14.07%"
"07/01/2022","675.00","675.00","675.00","675.00","0.10K","9.76%"
"06/01/2022","615.00","615.00","615.00","615.00","0.35K","-12.21%"
"05/01/2022","700.50","700.50","700.50","700.50","","-4.69%"
"04/01/2022","735.00","735.00","735.00","735.00","0.10K","-18.42%"
"03/01/2022","901.00","901.00","901.00","901.00","0.10K","16.26%"
"02/01/2022","775.00","775.00","775.00","775.00","0.02K","14.81%"
"01/01/2022","675.00","675.00","675.00","675.00","0.02K","-19.88%"
"12/01/2021","842.50","842.50","842.50","842.50","0.05K","-9.36%"
"11/01/2021","929.50","929.50","929.50","929.50","","11.32%"
"10/01/2021","835.00","835.00","835.00","835.00","","71.35%"
"09/01/2021","487.30","487.30","487.30","487.30","0.05K","7.10%"
"08/01/2021","455.00","455.00","455.00","455.00","0.05K","-2.15%"
"07/01/2021","465.00","465.00","465.00","465.00","0.05K","-2.72%"
"06/01/2021","478.00","478.00","478.00","478.00","0.15K","21.78%"
"05/01/2021","392.50","392.50","392.50","392.50","","13.93%"
"04/01/2021","344.50","344.50","344.50","344.50","0.05K","0.73%"
"03/01/2021","342.00","342.00","342.00","342.00","","-5.66%"
"02/01/2021","362.50","362.50","362.50","362.50","0.05K","-2.42%"
"01/01/2021","371.50","371.50","371.50","371.50","","37.34%"
"12/01/2020","270.50","270.50","270.50","270.50","0.06K","-0.55%"
"11/01/2020","272.00","272.00","272.00","272.00","","5.43%"
"10/01/2020","258.00","258.00","258.00","258.00","0.10K","-1.71%"
"09/01/2020","262.50","262.50","262.50","262.50","0.20K","-1.87%"
"08/01/2020","267.50","267.50","267.50","267.50","","3.88%"
"07/01/2020","257.50","257.50","257.50","257.50","","14.70%"
"06/01/2020","224.50","224.50","224.50","224.50","0.05K","4.66%"
"05/01/2020","214.50","214.50","214.50","214.50","0.10K","-10.14%"
"04/01/2020","238.70","238.70","238.70","238.70","","-0.95%"
"03/01/2020","241.00","241.00","241.00","241.00","0.05K","-4.93%"
"02/01/2020","253.50","253.50","253.50","253.50","","12.92%"
"01/01/2020","224.50","224.50","224.50","224.50","0.15K","-7.42%"
"12/01/2019","242.50","242.50","242.50","242.50","0.10K","2.54%"
"11/01/2019","236.50","236.50","236.50","236.50","0.10K","-6.34%"
"10/01/2019","252.50","252.50","252.50","252.50","0.05K","-3.44%"
"09/01/2019","261.50","261.50","261.50","261.50","0.05K","0.00%"
"08/01/2019","261.50","261.50","261.50","261.50","0.65K","-2.61%"
"07/01/2019","268.50","268.50","268.50","268.50","0.50K","-6.77%"
"06/01/2019","288.00","288.00","288.00","288.00","0.10K","2.49%"
"05/01/2019","281.00","281.00","281.00","281.00","0.05K","3.69%"
