Date,Year,Month,Price
2005-08-01,2005,Aug,250.94
2005-09-01,2005,Sep,247.81
2005-10-01,2005,Oct,253.66
2005-11-01,2005,Nov,277.55
2005-12-01,2005,Dec,248.29
2006-01-01,2006,Jan,234.16
2006-02-01,2006,Feb,245.67
2006-03-01,2006,Mar,282.14
2006-04-01,2006,Apr,282.70
2006-05-01,2006,May,254.67
2006-06-01,2006,Jun,233.81
2006-07-01,2006,Jul,232.06
2006-08-01,2006,Aug,235.39
2006-09-01,2006,Sep,240.12
2006-10-01,2006,Oct,236.10
2006-11-01,2006,Nov,258.23
2006-12-01,2006,Dec,290.06
2007-01-01,2007,Jan,311.62
2007-02-01,2007,Feb,350.47
2007-03-01,2007,Mar,371.23
2007-04-01,2007,Apr,329.81
2007-05-01,2007,May,320.89
2007-06-01,2007,Jun,310.97
2007-07-01,2007,Jul,283.07
2007-08-01,2007,Aug,275.95
2007-09-01,2007,Sep,312.24
2007-10-01,2007,Oct,315.73
2007-11-01,2007,Nov,354.78
2007-12-01,2007,Dec,403.26
2008-01-01,2008,Jan,381.30
2008-02-01,2008,Feb,327.83
2008-03-01,2008,Mar,371.75
2008-04-01,2008,Apr,468.92
2008-05-01,2008,May,632.73
2008-06-01,2008,Jun,652.74
2008-07-01,2008,Jul,743.07
2008-08-01,2008,Aug,827.70
2008-09-01,2008,Sep,787.90
2008-10-01,2008,Oct,681.23
2008-11-01,2008,Nov,350.18
2008-12-01,2008,Dec,296.28
2009-01-01,2009,Jan,335.70
2009-02-01,2009,Feb,350.20
2009-03-01,2009,Mar,339.52
2009-04-01,2009,Apr,300.43
2009-05-01,2009,May,271.90
2009-06-01,2009,Jun,270.15
2009-07-01,2009,Jul,273.16
2009-08-01,2009,Aug,273.68
2009-09-01,2009,Sep,251.35
2009-10-01,2009,Oct,247.76
2009-11-01,2009,Nov,258.01
2009-12-01,2009,Dec,276.25
2010-01-01,2010,Jan,277.94
2010-02-01,2010,Feb,314.40
2010-03-01,2010,Mar,285.11
2010-04-01,2010,Apr,255.07
2010-05-01,2010,May,243.26
2010-06-01,2010,Jun,234.83
2010-07-01,2010,Jul,270.46
2010-08-01,2010,Aug,274.54
2010-09-01,2010,Sep,318.97
2010-10-01,2010,Oct,338.48
2010-11-01,2010,Nov,369.76
2010-12-01,2010,Dec,383.84
2011-01-01,2011,Jan,376.49
2011-02-01,2011,Feb,293.75
2011-03-01,2011,Mar,272.08
2011-04-01,2011,Apr,243.17
2011-05-01,2011,May,227.12
2011-06-01,2011,Jun,467.62
2011-07-01,2011,Jul,462.25
2011-08-01,2011,Aug,467.15
2011-09-01,2011,Sep,510.21
2011-10-01,2011,Oct,503.63
2011-11-01,2011,Nov,492.66
2011-12-01,2011,Dec,433.35
2012-01-01,2012,Jan,372.81
2012-02-01,2012,Feb,373.74
2012-03-01,2012,Mar,390.71
2012-04-01,2012,Apr,490.85
2012-05-01,2012,May,517.17
2012-06-01,2012,Jun,469.71
2012-07-01,2012,Jul,311.80
