Decade,YearMonth,Population,Employment,Unemployment,Not In Labour Force,Labour Force,Not Employed
1970s,1977-01,17000,17300,-400,100,16900,-300
1970s,1977-02,16500,15400,-1000,2200,14300,1100
1970s,1977-03,15900,22100,4100,-10200,26100,-6200
1970s,1977-04,15400,14400,5500,-4400,19800,1000
1970s,1977-05,15100,10400,4000,700,14400,4700
1970s,1977-06,14300,10700,1200,2400,11900,3600
1970s,1977-07,13600,11600,1900,100,13500,2000
1970s,1977-08,13300,11300,-800,2700,10600,2000
1970s,1977-09,13200,9300,3200,700,12500,3900
1970s,1977-10,12800,19300,3200,-9700,22500,-6500
1970s,1977-11,12600,10100,5200,-2700,15300,2500
1970s,1977-12,12400,4600,7300,500,11900,7800
1970s,1978-01,12000,8900,6900,-3800,15800,3100
1970s,1978-02,11700,8300,5700,-2300,14000,3400
1970s,1978-03,11200,3200,5500,2500,8700,8000
1970s,1978-04,10900,3400,2400,5000,5900,7500
1970s,1978-05,10400,12000,3700,-5200,15600,-1600
1970s,1978-06,10300,7300,2600,400,9900,3000
1970s,1978-07,10000,11400,-300,-1200,11200,-1400
1970s,1978-08,9700,5100,1500,3300,6400,4600
1970s,1978-09,9200,5300,1300,2700,6500,3900
1970s,1978-10,9200,7300,700,1100,8100,1900
1970s,1978-11,9100,7300,-200,1900,7200,1800
1970s,1978-12,9000,14900,-700,-5200,14200,-5900
1970s,1979-01,9000,16800,500,-8300,17300,-7800
1970s,1979-02,9200,12500,-1200,-2000,11200,-3300
1970s,1979-03,9400,15700,-4000,-2300,11700,-6300
1970s,1979-04,9700,11800,-1900,-200,9900,-2100
1970s,1979-05,9800,8500,-1800,3000,6800,1300
1970s,1979-06,9900,15700,-2600,-3200,13100,-5800
1970s,1979-07,10100,13000,-3700,1000,9100,-2900
1970s,1979-08,9900,12500,-4500,1800,8100,-2600
1970s,1979-09,9900,15200,-2400,-3000,12900,-5300
1970s,1979-10,10100,8300,-1800,3700,6400,1800
1970s,1979-11,10000,13400,-2300,-1000,11000,-3400
1970s,1979-12,10200,11100,-2600,1800,8400,-900
1980s,1980-01,10200,11700,-4100,2600,7600,-1500
1980s,1980-02,9800,8800,-2800,3700,6100,1000
1980s,1980-03,9900,7200,-1300,4100,5800,2700
1980s,1980-04,9600,18900,-2400,-6800,16400,-9300
1980s,1980-05,9400,12400,-1700,-1300,10700,-3000
1980s,1980-06,9500,7900,100,1500,8000,1600
1980s,1980-07,9300,3900,4600,700,8600,5400
1980s,1980-08,9400,4700,4000,700,8700,4700
1980s,1980-09,9600,-300,3600,6300,3300,9900
1980s,1980-10,9400,2400,4400,2600,6800,7000
1980s,1980-11,9300,2800,2900,3600,5700,6500
1980s,1980-12,8800,4200,2100,2400,6400,4600
1980s,1981-01,8600,5000,4200,-600,9200,3600
1980s,1981-02,8400,6400,6500,-4500,12900,2000
1980s,1981-03,8400,10200,2900,-4800,13200,-1800
1980s,1981-04,8300,4400,400,3400,4900,3900
1980s,1981-05,8400,8300,600,-600,9000,100
1980s,1981-06,8400,5900,1100,1400,7000,2500
1980s,1981-07,8400,9700,-4000,2700,5700,-1300
1980s,1981-08,8600,10800,-200,-2000,10600,-2200
1980s,1981-09,8800,11800,1500,-4500,13300,-3000
1980s,1981-10,8800,4200,-500,5000,3800,4600
1980s,1981-11,8900,8200,3400,-2700,11600,700
1980s,1981-12,9200,7500,1200,500,8700,1700
1980s,1982-01,9200,6500,-1100,3800,5400,2700
1980s,1982-02,9400,7800,-1600,3200,6200,1600
1980s,1982-03,9300,5300,1700,2200,7100,4000
1980s,1982-04,9200,1000,7400,800,8400,8200
1980s,1982-05,8900,-2700,7800,3900,5000,11600
1980s,1982-06,9200,-1400,10300,300,8900,10600
1980s,1982-07,9300,-7300,15500,1200,8100,16600
1980s,1982-08,9900,-8400,11900,6400,3500,18300
1980s,1982-09,9800,-5300,10300,4800,5000,15100
1980s,1982-10,10000,1200,12300,-3400,13400,8800
