Decade,YearMonth,Population,Employment,Unemployment,Not In Labour Force,Labour Force,Not Employed
1970s,1977-01,0.03,0.05,-0.02,0.00,0.05,0.00
1970s,1977-02,0.03,0.04,-0.05,0.01,0.04,0.00
1970s,1977-03,0.02,0.06,0.22,-0.04,0.07,-0.02
1970s,1977-04,0.02,0.04,0.33,-0.02,0.05,0.00
1970s,1977-05,0.02,0.03,0.31,0.00,0.04,0.02
1970s,1977-06,0.02,0.03,0.09,0.01,0.03,0.01
1970s,1977-07,0.02,0.03,0.11,0.00,0.03,0.01
1970s,1977-08,0.02,0.03,-0.05,0.01,0.03,0.01
1970s,1977-09,0.02,0.02,0.29,0.00,0.03,0.02
1970s,1977-10,0.02,0.05,0.29,-0.04,0.06,-0.02
1970s,1977-11,0.02,0.03,0.44,-0.01,0.04,0.01
1970s,1977-12,0.02,0.01,0.54,0.00,0.03,0.03
1970s,1978-01,0.02,0.02,0.39,-0.01,0.04,0.01
1970s,1978-02,0.02,0.02,0.29,-0.01,0.04,0.01
1970s,1978-03,0.02,0.01,0.24,0.01,0.02,0.03
1970s,1978-04,0.02,0.01,0.11,0.02,0.01,0.03
1970s,1978-05,0.02,0.03,0.22,-0.02,0.04,-0.01
1970s,1978-06,0.02,0.02,0.17,0.00,0.02,0.01
1970s,1978-07,0.02,0.03,-0.02,-0.01,0.03,-0.01
1970s,1978-08,0.01,0.01,0.09,0.01,0.02,0.02
1970s,1978-09,0.01,0.01,0.09,0.01,0.02,0.02
1970s,1978-10,0.01,0.02,0.05,0.00,0.02,0.01
1970s,1978-11,0.01,0.02,-0.01,0.01,0.02,0.01
1970s,1978-12,0.01,0.04,-0.03,-0.02,0.04,-0.02
1970s,1979-01,0.01,0.05,0.02,-0.03,0.04,-0.03
1970s,1979-02,0.01,0.03,-0.05,-0.01,0.03,-0.01
1970s,1979-03,0.01,0.04,-0.14,-0.01,0.03,-0.02
1970s,1979-04,0.01,0.03,-0.08,0.00,0.02,-0.01
