year,dividend_yield
1871,  5.49
1872,  5.92
1873,  7.47
1874,  7.27
1875,  6.86
1876,  8.38
1877,  5.85
1878,  5.22
1879,  4.07
1880,  4.45
1881,  5.32
1882,  5.48
1883,  6.18
1884,  7.14
1885,  4.62
1886,  3.90
1887,  4.74
1888,  4.47
1889,  4.14
1890,  4.78
1891,  4.07
1892,  4.36
1893,  5.67
1894,  4.88
1895,  4.40
1896,  4.27
1897,  3.79
1898,  3.54
1899,  3.49
1900,  4.37
1901,  4.03
1902,  4.10
1903,  5.33
1904,  3.76
1905,  3.46
1906,  4.07
1907,  6.70
1908,  4.43
1909,  4.27
1910,  5.19
1911,  5.16
1912,  5.12
1913,  5.97
1914,  5.71
1915,  4.54
1916,  5.71
1917,  10.15
1918,  7.22
1919,  5.94
1920,  7.49
1921,  6.29
1922,  5.81
1923,  6.20
1924,  5.41
1925,  4.82
1926,  5.11
1927,  4.41
1928,  3.67
1929,  4.53
1930,  6.32
1931,  9.72
1932,  7.33
1933,  4.41
1934,  4.86
1935,  3.60
1936,  4.22
1937,  7.26
1938,  4.02
1939,  5.01
1940,  6.36
1941,  8.11
1942,  6.20
1943,  5.31
1944,  4.89
1945,  3.81
1946,  4.69
1947,  5.59
1948,  6.12
1949,  6.89
1950,  7.44
1951,  6.02
1952,  5.41
1953,  5.84
1954,  4.40
1955,  3.61
1956,  3.75
1957,  4.44
1958,  3.27
1959,  3.10
1960,  3.43
1961,  2.82
1962,  3.40
1963,  3.07
1964,  2.98
1965,  2.97
1966,  3.53
1967,  3.06
1968,  2.88
1969,  3.47
1970,  3.49
1971,  3.10
1972,  2.68
1973,  3.57
1974,  5.37
1975,  4.15
1976,  3.87
1977,  4.98
1978,  5.28
1979,  5.24
1980,  4.61
1981,  5.36
1982,  4.93
1983,  4.31
1984,  4.58
1985,  3.81
1986,  3.33
1987,  3.66
1988,  3.53
1989,  3.17
1990,  3.68
1991,  3.14
1992,  2.84
1993,  2.70
1994,  2.89
1995,  2.24
1996,  2.00
1997,  1.61
1998,  1.36
1999,  1.17
2000,  1.22
2001,  1.37
2002,  1.79
2003,  1.61
2004,  1.62
2005,  1.76
2006,  1.76
2007,  1.87
2008,  3.23
2009,  2.02
2010,  1.83
2011,  2.13
2012,  2.20
2013,  1.94
2014,  1.92
2015,  2.11
2016,  2.03
2017,  1.84
2018,  2.09
2019,  1.83
2020,  1.58
2021,  1.29
2022,  1.71
2023,  1.50
2024,  1.24
