year,real_eps
1871,  10.09
1872,  10.60
1873,  12.05
1874,  12.75
1875,  10.50
1876,  8.31
1877,  10.07
1878,  12.09
1879,  12.50
1880,  16.44
1881,  13.79
1882,  13.73
1883,  13.83
1884,  11.95
1885,  10.53
1886,  13.50
1887,  13.87
1888,  10.02
1889,  12.27
1890,  11.71
1891,  14.43
1892,  15.51
1893,  11.78
1894,  7.77
1895,  11.80
1896,  10.06
1897,  14.85
1898,  16.52
1899,  19.39
1900,  20.13
1901,  19.97
1902,  23.48
1903,  20.90
1904,  18.46
1905,  25.24
1906,  27.13
1907,  24.07
1908,  20.47
1909,  24.27
1910,  25.24
1911,  20.83
1912,  23.03
1913,  20.10
1914,  16.43
1915,  27.26
1916,  42.09
1917,  29.81
1918,  19.14
1919,  15.70
1920,  13.16
1921,  5.35
1922,  13.03
1923,  18.08
1924,  17.15
1925,  22.28
1926,  22.35
1927,  20.47
1928,  25.75
1929,  29.87
1930,  19.22
1931,  13.33
1932,  9.99
1933,  10.64
1934,  11.67
1935,  17.57
1936,  23.25
1937,  25.04
1938,  14.59
1939,  20.51
1940,  23.76
1941,  23.88
1942,  19.45
1943,  17.24
1944,  16.67
1945,  16.83
1946,  15.73
1947,  21.95
1948,  30.32
1949,  31.37
1950,  36.25
1951,  29.38
1952,  28.68
1953,  29.77
1954,  33.10
1955,  43.10
1956,  39.42
1957,  37.86
1958,  31.91
1959,  36.79
1960,  35.01
1961,  33.93
1962,  38.52
1963,  41.51
1964,  46.53
1965,  52.08
1966,  53.83
1967,  50.17
1968,  51.77
1969,  48.92
1970,  41.13
1971,  44.25
1972,  48.20
1973,  56.36
1974,  54.66
1975,  45.76
1976,  54.33
1977,  55.95
1978,  58.11
1979,  61.82
1980,  54.79
1981,  52.14
1982,  41.32
1983,  44.19
1984,  50.42
1985,  42.65
1986,  41.81
1987,  48.39
1988,  62.89
1989,  57.87
1990,  50.89
1991,  36.95
1992,  42.93
1993,  47.91
1994,  65.22
1995,  70.59
1996,  77.92
1997,  78.57
1998,  73.41
1999,  91.33
2000,  91.69
2001,  44.58
2002,  48.66
2003,  84.38
2004,  98.17
2005,  113.22
2006,  128.88
2007,  100.54
2008,  22.58
2009,  75.31
2010,  112.61
2011,  122.94
2012,  120.23
2013,  137.19
2014,  139.03
2015,  116.73
2016,  124.96
2017,  142.22
2018,  168.14
2019,  173.18
2020,  115.31
2021,  226.46
2022,  185.72
2023,  200.17
2024,  202.67
