year,return
1926,11.62
1927,37.49
1928,43.61
1929,-8.42
1930,-24.9
1931,-43.34
1932,-8.19
1933,53.99
1934,-1.44
1935,47.67
1936,33.92
1937,-35.03
1938,31.12
1939,-0.41
1940,-9.78
1941,-11.59
1942,20.34
1943,25.9
1944,19.75
1945,36.44
1946,-8.07
1947,5.71
1948,5.5
1949,18.79
1950,31.71
1951,24.02
1952,18.37
1953,-0.99
1954,52.62
1955,31.56
1956,6.56
1957,-10.78
1958,43.36
1959,11.96
1960,0.47
1961,26.89
1962,-8.73
1963,22.8
1964,16.48
1965,12.45
1966,-10.06
1967,23.98
1968,11.06
1969,-8.5
1970,4.01
1971,14.31
1972,18.98
1973,-14.66
1974,-26.47
1975,37.2
1976,23.84
1977,-7.18
1978,6.56
1979,18.44
1980,32.42
1981,-4.91
1982,21.55
1983,22.56
1984,6.27
1985,31.73
1986,18.67
1987,5.25
1988,16.61
1989,31.69
1990,-3.1
1991,30.47
1992,7.62
1993,10.08
1994,1.32
1995,37.58
1996,22.96
1997,33.36
1998,28.58
1999,21.04
2000,-9.1
2001,-11.89
2002,-22.1
2003,28.68
2004,10.88
2005,4.91
2006,15.79
2007,5.49
2008,-37
2009,26.46
2010,15.06
2011,2.11
2012,16
2013,32.39
2014,13.69
2015,1.38
2016,11.96
2017,21.83
2018,-4.38
2019,31.49
2020,18.4
2021,28.71
2022,-18.11
2023,26.29
2024,25.02
